n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,0.08612357,-0.029096648,-0.1420517,871.65,Wed May 17 20:57:52 MDT 2017,-0.24294378,-0.17620614,9.802057,-0.005239078,0.014193791,-0.28209493,-9.042481,100.0,-4.846,12.431,-86.373,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.15682021,-0.20530279,9.660006
1,0.45982775,-0.17645045,-0.17538166,871.62,Wed May 17 20:57:53 MDT 2017,-0.61904216,-0.06057552,9.786904,0.008333031,0.03042956,-0.35838762,-9.042481,100.0,-4.846,12.644,-86.692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.1592144,-0.23702596,9.611523
2,0.635763,-0.27144006,0.056721687,871.65,Wed May 17 20:57:54 MDT 2017,-0.80216,0.14754012,9.772674,0.021283686,0.035707183,-0.3617968,-9.042481,100.0,-4.528,10.171,-86.692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.16639702,-0.12389994,9.829395
3,0.89467627,-0.35050517,-0.12818718,871.63,Wed May 17 20:57:55 MDT 2017,-0.94315886,0.37265155,9.754075,0.036298424,0.036674157,-0.39100665,-9.042481,100.0,-5.181,9.635,-86.692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.048482586,0.022146367,9.625888
4,1.0455422,-0.39622498,0.029055595,871.61,Wed May 17 20:57:56 MDT 2017,-1.1879972,0.18314101,9.732703,0.03318988,0.051477358,-0.40793496,-9.042481,100.0,-4.548,11.599,-86.347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.142455,-0.21308395,9.761759
5,1.0908834,-0.5247841,-0.046040535,871.7,Wed May 17 20:57:58 MDT 2017,-1.253689,0.33504364,9.720411,0.040519252,0.05215589,-0.38978603,-9.042481,100.0,-4.548,11.425,-86.347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.16280572,-0.18974048,9.674371
6,0.99184316,-0.52382374,-0.15541458,871.65,Wed May 17 20:57:59 MDT 2017,-1.173204,0.27901658,9.732222,0.036017776,0.04984282,-0.38273677,-9.042481,100.0,-4.853,11.3,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.18136078,-0.24480712,9.576807
7,0.9210705,-0.54457957,-0.15628624,871.7,Wed May 17 20:58:00 MDT 2017,-1.0886647,0.25607827,9.74267,0.032850526,0.046610564,-0.3734243,-9.042481,100.0,-4.853,11.36,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.16759412,-0.2885013,9.586384
8,0.7786699,-0.47267485,-0.17079449,871.69,Wed May 17 20:58:01 MDT 2017,-0.9534466,0.21709384,9.757776,0.027926635,0.04129803,-0.36195037,-9.042481,100.0,-4.853,11.772,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,-23,-0.17477672,-0.25558102,9.586982
9,0.6736115,-0.39365858,-0.029117584,871.69,Wed May 17 20:58:02 MDT 2017,-0.81786215,0.16321665,9.771124,0.022491766,0.03609093,-0.35175574,-9.042481,100.0,-4.884,12.504,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.14425065,-0.23044191,9.742006
10,0.5173363,-0.3136903,-0.058444977,871.68,Wed May 17 20:58:03 MDT 2017,-0.6891203,0.10000781,9.781897,0.016499825,0.031442054,-0.3333058,-9.042481,100.0,-4.27,13.369,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.17178397,-0.2136825,9.723452
11,0.39872354,-0.31693152,-0.21826553,871.69,Wed May 17 20:58:04 MDT 2017,-0.5752959,0.03860557,9.789685,0.011468764,0.027036576,-0.32800198,-8.49007,100.0,-4.57,12.858,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.17657238,-0.27832595,9.57142
12,0.29843363,-0.25674382,-0.18342876,871.66,Wed May 17 20:58:05 MDT 2017,-0.48996976,-0.031158926,9.794353,0.0065064738,0.024160981,-0.3216471,-8.49007,100.0,-4.57,11.497,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.19153613,-0.28790274,9.610924
13,0.23112768,-0.16750221,-0.05310154,871.69,Wed May 17 20:58:06 MDT 2017,-0.42086816,-0.11800633,9.796904,0.0011121135,0.022300813,-0.3163533,-7.792669,100.0,-4.57,11.909,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.18974048,-0.28550854,9.743802
14,0.2633125,-0.34247997,0.19086075,871.66,Wed May 17 20:58:07 MDT 2017,-0.33513853,-0.19681397,9.798945,-0.0044182036,0.019073462,-0.28669253,-7.792669,100.0,-4.254,12.812,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.07182605,-0.53929394,9.989806
15,0.092774704,0.013792381,-0.01432991,871.73,Wed May 17 20:58:09 MDT 2017,-0.25857317,-0.25081834,9.800031,-0.008681594,0.01621193,-0.27783874,-7.792669,100.0,-4.254,11.164,-85.992,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.16579847,-0.23702596,9.785701
16,0.005787924,0.0649863,0.21044922,871.71,Wed May 17 20:58:10 MDT 2017,-0.23024434,-0.28824562,9.799708,-0.009191011,0.016438752,-0.37795213,-7.792669,100.0,-8.854,11.973,-85.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.22445641,-0.22325931,10.010158
17,-0.2132314,0.1087385,-0.18258,871.48,Wed May 17 20:58:11 MDT 2017,-0.2296959,-0.3152384,9.798891,-0.0067614173,0.018617224,-0.56198776,-7.792669,100.0,-17.483,10.36,-82.702,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.4429273,-0.20649989,9.616311
18,0.08531987,-0.0049782395,-0.1448431,871.0,Wed May 17 20:58:12 MDT 2017,-0.18827054,-0.32482305,9.799461,-0.008091706,0.01734,-0.5701691,-7.792669,100.0,-17.808,10.301,-82.435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.10295067,-0.3298013,9.654618
19,-0.07357553,-0.0490551,-0.038719177,871.33,Wed May 17 20:58:13 MDT 2017,-0.19637072,-0.34299543,9.798682,-0.008613529,0.018029666,-0.56976026,-7.792669,100.0,-17.808,10.241,-82.765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.26994625,-0.39205053,9.759963
20,-0.0012805462,0.0874303,-0.069812775,871.32,Wed May 17 20:58:14 MDT 2017,-0.19444545,-0.3615664,9.798053,-0.009494057,0.018630425,-0.5684654,-7.792669,100.0,-17.503,9.785,-82.765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85,2,-0.19572599,-0.2741361,9.72824
