n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,4.902099,0.2630396,-1.9795532,871.26,Wed May 17 20:05:18 MDT 2017,-0.05862886,4.6803885,8.617477,0.2383481,-0.037459478,-0.17950293,19.582336,64.97679,-13.105,-12.643,-49.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,4.84347,4.943428,6.637924
1,1.0606863,-2.0016537,1.6079807,871.17,Wed May 17 20:05:19 MDT 2017,0.9001649,6.679325,7.1236725,0.2415939,-0.28199288,-0.6246406,19.582336,64.97679,-24.443,-32.742,-35.932,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,1.9608512,4.6776714,8.731653
2,2.890412,-1.558887,4.6632376,871.2,Wed May 17 20:05:20 MDT 2017,-0.936145,5.746346,7.8913574,0.2909122,-0.13490841,-0.54219544,21.874672,61.091507,-15.449,-22.734,-45.341,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,1.9542671,4.187459,12.554595
3,-0.6789937,0.537925,-3.9345822,871.18,Wed May 17 20:05:21 MDT 2017,6.89913,3.2880094,6.145029,-0.13483317,-0.4038273,-0.63161725,21.874672,61.091507,-49.552,-14.453,-20.629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,6.220136,3.8259344,2.2104468
4,0.73794246,0.47296572,0.79455376,871.22,Wed May 17 20:05:22 MDT 2017,2.0100026,2.0379534,9.379606,0.018690715,-0.14754064,-0.61012244,21.874672,61.091507,-28.013,-5.413,-45.579,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,2.747945,2.510919,10.17416
5,1.4557025,0.7239938,0.24185562,871.23,Wed May 17 20:05:23 MDT 2017,0.50095886,2.3345988,9.511523,0.077306755,-0.09696479,-0.64860314,22.123482,60.501503,-22.636,-8.058,-46.908,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,1.9566613,3.0585926,9.753379
6,0.26683077,0.73266697,-1.627501,871.22,Wed May 17 20:05:30 MDT 2017,-0.5547335,2.874198,9.359575,0.07901816,-0.1262786,-0.9203989,21.697353,59.49468,-12.588,-32.231,-41.957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,-0.28790274,3.606865,7.7320743
7,-0.16550493,0.3749764,-0.066438675,871.21,Wed May 17 20:05:31 MDT 2017,-0.907696,2.0108457,9.555259,0.077587955,-0.08440189,-0.94122195,21.697353,59.49468,-11.761,-28.57,-44.139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,-1.073201,2.385822,9.48882
8,3.3894413,-0.5572953,-5.728652,871.19,Wed May 17 20:05:33 MDT 2017,0.49993953,4.61427,8.638804,0.06356289,-0.2297105,-0.899081,21.697353,60.948467,-16.497,-32.795,-37.704,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,3.8893807,4.056975,2.9101522
9,0.72654307,-1.470791,1.8155632,871.19,Wed May 17 20:05:34 MDT 2017,-0.51286054,2.5242398,9.462324,0.084771395,-0.1044489,-0.8592888,21.697353,60.948467,-17.312,-19.293,-46.109,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,253,0.2136825,1.0534488,11.277887
