n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
34,-0.1511904,0.035767987,-0.26815987,902.68,Sun May 21 05:41:56 MDT 2017,1.5769376,0.20903914,9.676774,0.063429125,-0.050962273,0.6881343,1.1557298,83.55161,97.679,5.136,32.981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,133,1.4257472,0.24480712,9.408614
36,-0.7710401,-1.4261718,-0.5095329,902.62,Sun May 21 05:42:16 MDT 2017,1.0996443,0.7958982,9.712246,0.06703961,0.020558612,0.93811923,1.9280045,81.03143,51.782,-54.135,36.096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,133,0.3286042,-0.6302736,9.202713
38,0.3446721,0.046906844,-0.26134968,902.61,Sun May 21 05:42:36 MDT 2017,-0.5523691,-0.064264804,9.790871,-0.025360677,0.0129888775,0.8343021,-0.65165746,92.71504,86.506,-36.106,-27.319,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,134,-0.207697,-0.017357962,9.529521
40,-1.2478182,0.33839425,0.7778435,902.7,Sun May 21 05:42:57 MDT 2017,1.8343977,0.06383162,9.633343,0.08468786,-0.048240636,0.8399883,-1.0578816,97.29201,81.333,-42.924,-60.569,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,126,0.58657944,0.40222588,10.411186
42,-0.10846013,0.09759745,0.41308975,902.54,Sun May 21 05:43:17 MDT 2017,0.2682731,-0.014398939,9.802969,0.012829584,-0.009031554,0.87953264,-1.019938,94.982605,77.552,-51.818,-57.981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,126,0.15981296,0.08319851,10.216059
44,0.121860765,-0.022066385,-0.20842361,902.7,Sun May 21 05:43:37 MDT 2017,-0.18889841,0.2596909,9.801392,-0.0,0.016387457,0.8096621,-2.4054184,100.0,61.917,-21.842,-76.062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,125,-0.06703765,0.23762453,9.592968
46,0.053567637,-0.024986625,-0.20381737,902.57,Sun May 21 05:43:57 MDT 2017,-0.11162703,0.2003619,9.803967,0.001326023,0.01158961,0.8131019,-3.4410868,100.0,63.159,-22.827,-78.771,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,119,-0.05805939,0.17537527,9.60015
48,0.010220729,-0.009477079,-0.17197323,902.54,Sun May 21 05:44:18 MDT 2017,-0.05331636,0.16929004,9.805044,0.0027675254,0.008626494,0.8169616,-3.4646297,100.0,64.404,-24.046,-79.481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99,119,-0.04309563,0.15981296,9.633071
50,0.023225222,0.008750752,-0.15424347,902.54,Sun May 21 05:44:38 MDT 2017,-0.07410201,0.14687236,9.80527,0.0011835156,0.008290003,0.8192406,-3.930221,100.0,65.13,-24.713,-80.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,113,-0.050876785,0.15562311,9.651027
52,0.027494214,-0.016337052,-0.14356709,902.48,Sun May 21 05:44:58 MDT 2017,-0.08136375,0.13604714,9.805368,4.567453E-4,0.008082493,0.8251393,-2.9414723,100.0,64.604,-25.958,-82.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,114,-0.053869538,0.11971009,9.661801
54,-5.846694E-4,-0.037459955,-0.12575054,902.49,Sun May 21 05:45:18 MDT 2017,-0.048496466,0.14160773,9.805508,0.002042627,0.0073099635,0.8236692,-3.8895848,100.0,66.864,-26.579,-82.176,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,114,-0.049081136,0.10414778,9.679757
56,-0.006444555,0.009838663,-0.12206745,902.38,Sun May 21 05:45:38 MDT 2017,-0.05460759,0.09730186,9.806015,4.8828125E-4,0.005686433,0.82630116,-3.177604,100.0,66.876,-26.905,-82.223,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,109,-0.061052144,0.107140526,9.683948
58,-0.02317404,-0.020220593,-0.0866909,902.43,Sun May 21 05:45:58 MDT 2017,-0.04266651,0.10880606,9.805953,0.0013593175,0.0058134184,0.8243261,-2.7601562,100.0,67.1,-26.6,-82.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,109,-0.06584055,0.088585466,9.719262
60,0.04220627,0.011522286,-0.10645962,902.43,Sun May 21 05:46:19 MDT 2017,-0.07512654,0.087837085,9.805969,-6.6860666E-4,0.0058338884,0.82710016,-3.1988199,100.0,67.436,-27.198,-82.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,109,-0.032920275,0.09935937,9.69951
62,-0.00953779,1.8566847E-4,-0.11275673,902.42,Sun May 21 05:46:39 MDT 2017,-0.03355784,0.078224435,9.806281,8.457279E-4,0.0042707166,0.8264022,-2.5523443,100.0,67.755,-27.198,-83.294,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,106,-0.04309563,0.078410104,9.693524
