n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,-0.008632325,-1.1332428,0.03222847,884.51,Tue May 16 12:05:27 MDT 2017,0.09901344,4.591667,8.664709,0.00939069,0.24112852,0.9703391,19.63657,100.0,2.619,-54.826,52.343,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,0.090381116,3.4584243,8.696938
1,0.49414778,-1.4430442,0.2310524,884.47,Tue May 16 12:05:28 MDT 2017,-0.15536825,4.8643584,8.513769,-0.002407603,0.25558653,0.966502,19.63657,100.0,3.396,-55.497,52.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,0.33877954,3.4213142,8.744822
2,0.97972894,0.018367767,0.75225973,884.49,Tue May 16 12:05:29 MDT 2017,2.8102922,8.255395,4.485655,-0.13942781,-0.49626613,-0.8564224,19.63657,100.0,1.638,-71.34,80.934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,3.7900212,8.273763,5.2379146
3,-0.21405649,0.016476631,0.34313488,884.45,Tue May 16 12:05:30 MDT 2017,6.5592895,6.702252,2.8680882,-0.32916203,-0.49804127,-0.7872583,19.306948,100.0,-10.11,-69.021,83.456,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,6.345233,6.7187285,3.2112231
4,-0.15888691,0.36810684,-0.4833541,884.42,Tue May 16 12:05:31 MDT 2017,4.5797806,6.894704,5.2591877,-0.2190855,-0.42938873,-0.8706023,19.306948,100.0,-1.985,-70.68,75.384,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,4.4208937,7.2628107,4.7758336
5,-0.7539382,0.6660981,0.07753563,884.5,Tue May 16 12:05:33 MDT 2017,3.0757153,7.1976576,5.9079685,-0.15672792,-0.41716036,-0.8944545,19.306948,100.0,5.049,-71.998,73.991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,2.321777,7.8637557,5.985504
6,-1.1026214,0.5488591,-0.30566263,884.49,Tue May 16 12:05:34 MDT 2017,2.6187496,7.159273,6.1690626,-0.1397801,-0.40710416,-0.90242493,18.868164,98.503265,7.731,-72.317,73.669,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,1.5161282,7.7081323,5.8634
7,0.5304928,-0.2973342,-1.6839428,884.49,Tue May 16 12:05:36 MDT 2017,7.6516914,5.568768,-2.5711522,-0.5095985,-0.61018926,-0.5881456,18.281635,90.102554,-10.24,-63.76,110.868,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,8.182184,5.271434,-4.255095
8,0.6579766,-0.15407085,-2.1173844,884.48,Tue May 16 12:05:37 MDT 2017,1.991806,7.1385555,6.422159,-0.1006511,-0.40404648,-0.9079761,18.281635,90.102554,6.132,-70.365,74.656,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,2.6497827,6.9844847,4.3047748
9,0.7514522,0.41687346,-0.7307615,884.5,Tue May 16 12:05:38 MDT 2017,-0.47552043,7.1248617,6.7216525,0.004496763,0.39652535,0.9152762,18.281635,90.102554,14.242,-71.929,71.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,319,0.27593175,7.541735,5.990891
10,0.4808774,0.22129583,-0.56882524,884.5,Tue May 16 12:05:39 MDT 2017,6.4557233,3.428066,-6.537764,-0.6696557,-0.62120163,-0.3935663,17.920788,84.64725,-15.911,-53.353,118.646,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,6.9366007,3.6493618,-7.1065893
11,-0.23737907,1.0563738,0.1351304,884.68,Tue May 16 12:05:40 MDT 2017,7.1057453,3.4489152,-5.8123813,-0.6858295,-0.5708228,-0.43838003,17.920788,84.64725,-10.052,-62.739,113.922,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,6.8683662,4.505289,-5.677251
12,-0.3443184,1.2269406,-1.0799603,884.55,Tue May 16 12:05:42 MDT 2017,8.716842,3.0443153,-3.3044214,-0.64208984,-0.5092723,-0.5411528,17.657528,83.067406,-15.899,-64.099,105.369,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,8.372523,4.271256,-4.384382
13,-0.559906,1.5802004,-0.654552,884.46,Tue May 16 12:05:43 MDT 2017,8.939156,2.6787584,-3.014323,-0.6475331,-0.48434487,-0.5511103,17.657528,83.067406,-16.867,-64.099,103.948,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,8.397064,4.196437,-3.6709096
14,-0.71051025,1.573868,-0.63872385,884.56,Tue May 16 12:05:44 MDT 2017,8.206756,3.0421526,-4.4232173,-0.67448634,-0.5196067,-0.50088346,17.657528,83.067406,-13.652,-64.411,106.991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,7.4962454,4.6160207,-5.061941
15,-2.6343818,1.2185974,1.1784999,884.48,Tue May 16 12:05:45 MDT 2017,8.390641,4.655576,2.0231464,-0.45156386,-0.4564238,-0.7342196,17.366346,85.237114,-11.099,-68.431,81.843,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,5.7562594,5.8741736,3.2016463
16,3.1447167,0.7184937,0.7009058,884.49,Tue May 16 12:05:46 MDT 2017,-4.3208685,-0.4096417,8.7939,0.206185,0.10489136,-0.90299386,17.366346,85.237114,5.3,-8.439,-43.496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,-1.1761516,0.30885202,9.494805
17,1.5345836,0.8657871,-0.35483265,884.48,Tue May 16 12:05:47 MDT 2017,-0.95099694,-1.7654084,9.599444,0.025316864,0.0995469,-0.96498173,16.960306,83.11724,-2.172,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5835867,-0.8996213,9.244612
18,1.2133389,0.835572,-0.38905144,884.45,Tue May 16 12:05:48 MDT 2017,-0.65309566,-1.7034701,9.635458,0.014431168,0.09225738,-0.97355527,16.960306,83.11724,-2.484,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5602432,-0.8678981,9.246407
19,0.8779217,0.689351,-0.4220934,884.49,Tue May 16 12:05:49 MDT 2017,-0.34042343,-1.6009433,9.669099,0.0036376135,0.08362841,-0.9825902,16.960306,83.11724,-2.484,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5374983,-0.9115923,9.247005
20,0.59012073,0.646342,-0.50410366,884.51,Tue May 16 12:05:51 MDT 2017,-0.03526448,-1.4603705,9.69724,-0.0070357416,0.07431746,-0.99012196,17.064615,77.12148,-2.169,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.55485624,-0.81402856,9.193136
21,0.32626602,0.40898192,-0.4718256,884.47,Tue May 16 12:05:52 MDT 2017,0.27587572,-1.2936394,9.717035,-0.017079378,0.06536908,-0.99659914,17.064615,77.12148,-2.169,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.60214174,-0.8846575,9.24521
22,0.1210624,0.29405105,-0.4856367,884.45,Tue May 16 12:05:53 MDT 2017,0.4780866,-1.1799057,9.723664,-0.024543116,0.0602199,-0.9978777,17.064615,74.101715,-2.169,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.599149,-0.8858546,9.238028
23,-0.118546486,0.22146976,-0.49464512,884.51,Tue May 16 12:05:54 MDT 2017,0.65544623,-1.0750027,9.72549,0.031232351,-0.056237992,0.9971637,17.064615,74.101715,-2.169,-4.443,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.53689975,-0.8535329,9.2308445
24,-0.17830253,0.15298426,-0.47594833,884.42,Tue May 16 12:05:55 MDT 2017,0.7505167,-1.0065172,9.725946,0.034889694,-0.053809475,0.9959064,17.064615,74.101715,-2.169,-4.443,-43.867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5722142,-0.8535329,9.249998
25,-0.22210199,0.05059856,-0.47549915,884.47,Tue May 16 12:05:56 MDT 2017,0.8146669,-0.95381117,9.726096,0.037386015,-0.052029885,0.9944927,17.064615,72.76011,-2.169,-4.443,-43.867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.59256494,-0.9032126,9.250597
26,-0.30730247,0.038344085,-0.4813671,884.49,Tue May 16 12:05:58 MDT 2017,0.8561732,-0.91162914,9.726577,0.039017078,-0.050557155,0.99342763,17.064615,72.76011,-2.169,-4.443,-43.867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.54887074,-0.87328506,9.24521
27,-0.29663473,-0.0033706427,-0.488101,884.47,Tue May 16 12:05:59 MDT 2017,0.87303877,-0.89385647,9.726727,0.0397209,-0.049917802,0.9929114,17.009521,71.97228,-2.169,-4.443,-43.867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.57640404,-0.8972271,9.238626
28,-0.2821116,0.001738131,-0.4795828,884.5,Tue May 16 12:06:00 MDT 2017,0.8621069,-0.88639563,9.728384,0.03939544,-0.04937333,0.9933041,17.009521,71.97228,-2.169,-4.443,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.57999533,-0.8846575,9.248801
29,-0.29188234,0.016266167,-0.47433472,884.5,Tue May 16 12:06:01 MDT 2017,0.8664907,-0.880573,9.728523,0.039573193,-0.049107023,0.99317104,17.009521,71.97228,-2.169,-4.443,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5746084,-0.8643068,9.254189
30,-0.26002914,0.0031336546,-0.4972906,884.46,Tue May 16 12:06:02 MDT 2017,0.84361583,-0.88060856,9.73053,0.03872285,-0.048799276,0.9937622,16.99421,71.83671,-2.169,-4.443,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5835867,-0.8774749,9.233239
31,-0.23857701,0.02402246,-0.5047169,884.42,Tue May 16 12:06:03 MDT 2017,0.81138974,-0.88832927,9.732569,0.037465245,-0.048699018,0.9945783,16.99421,71.83671,-2.169,-4.443,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.57281274,-0.8643068,9.227852
32,-0.21940303,0.015575945,-0.49520493,884.47,Tue May 16 12:06:05 MDT 2017,0.78742737,-0.8960436,9.73383,0.03636917,-0.048871137,0.99491084,17.102978,71.43912,-2.169,-4.135,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.56802434,-0.88046765,9.238626
33,-0.16487002,0.023710728,-0.5108957,884.48,Tue May 16 12:06:06 MDT 2017,0.75144947,-0.90597403,9.735755,0.035005033,-0.048894,0.9957026,17.102978,71.43912,-2.169,-4.135,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.58657944,-0.8822633,9.224859
34,-0.14239341,0.02635467,-0.5300102,884.42,Tue May 16 12:06:07 MDT 2017,0.7229873,-0.9038296,9.73811,0.03391051,-0.048414383,0.9962728,17.102978,71.43912,-2.169,-4.135,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.5805939,-0.8774749,9.208099
35,-0.13685703,0.0355798,-0.523242,884.46,Tue May 16 12:06:08 MDT 2017,0.7024872,-0.9154489,9.738524,0.03313439,-0.04872823,0.9966271,17.102978,71.43912,-2.169,-4.135,-43.556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,320,0.56563014,-0.8798691,9.215282
