n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,-0.11192429,-0.15361619,-0.6758461,883.79,Wed May 17 13:29:21 MDT 2017,-1.6113024,2.9506423,9.212372,0.13548838,-0.1091314,-0.90944123,15.195874,100.0,-3.932,-10.296,-11.853,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,-1.7232267,2.7970262,8.536526
1,-0.8905344,-0.73540574,-0.3381548,883.68,Wed May 17 13:29:22 MDT 2017,-6.2232375,1.2711084,7.4716787,-0.3378837,0.09131855,0.9357246,15.195874,100.0,3.95,-14.967,-12.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,-7.113772,0.53570265,7.133524
2,0.5471184,-0.55431604,2.0235806,883.7,Wed May 17 13:29:23 MDT 2017,-3.087965,-4.386718,8.209237,-0.27559564,-0.08787409,0.8121801,15.195874,100.0,13.609,2.43,-9.771,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,-2.5408466,-4.941034,10.232818
3,0.6065039,0.09414445,-0.93735313,883.75,Wed May 17 13:29:24 MDT 2017,-0.30483449,0.15485252,9.800688,-0.011355371,0.013296073,0.92576504,15.195874,100.0,-1.406,-7.112,-5.226,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.30166942,0.24899697,8.863335
4,0.56783926,0.19247597,-0.57836914,883.76,Wed May 17 13:29:25 MDT 2017,-0.27574667,0.052929692,9.802629,0.013376589,0.0049825027,-0.85337126,15.195874,100.0,-14.035,-7.257,-2.693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.29209262,0.24540567,9.22426
5,0.49006397,0.2172975,-0.57146645,883.76,Wed May 17 13:29:27 MDT 2017,-0.22011772,0.037684985,9.804107,0.010588501,0.004146799,-0.85356236,14.094091,94.181366,-14.035,-7.257,-2.693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.26994625,0.25498247,9.23264
6,0.41813427,0.2242442,-0.5982771,883.72,Wed May 17 13:29:28 MDT 2017,-0.1272388,0.030139707,9.8057785,0.006404912,0.001956936,-0.85810775,14.094091,94.181366,-14.035,-7.557,-2.693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.2908955,0.25438392,9.207501
7,0.23307842,0.22807518,-0.5929451,883.75,Wed May 17 13:29:29 MDT 2017,-0.037950978,0.053243525,9.806432,0.0031121946,-0.0013702358,-0.8577194,14.094091,94.181366,-13.104,-7.238,-2.391,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.19512744,0.2813187,9.213487
8,0.23242691,0.20544374,-0.33939362,884.12,Wed May 17 13:29:30 MDT 2017,0.045300484,0.09682423,9.806067,-4.4013077E-4,-0.0054276693,-0.936491,14.094091,85.36325,-9.599,-11.14,-2.391,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.2777274,0.30226797,9.466674
9,0.1509056,0.16508615,-0.6132698,883.68,Wed May 17 13:29:31 MDT 2017,0.14058848,0.09229053,9.805208,-0.0051124003,-0.006907497,-0.94028366,14.094091,85.36325,-9.292,-11.14,-2.076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.29149407,0.25737667,9.191938
10,0.074103355,0.13935438,-0.5938244,883.59,Wed May 17 13:29:32 MDT 2017,0.21379939,0.10844549,9.8037195,-0.008355354,-0.00888266,-0.94037753,13.381504,82.679436,-9.292,-11.14,-2.076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.28790274,0.24779987,9.209895
11,0.028264731,0.12439689,-0.5996294,883.53,Wed May 17 13:29:33 MDT 2017,0.2608351,0.12819138,9.802342,-0.010247365,-0.010715104,-0.94040966,13.381504,82.679436,-9.292,-11.14,-2.076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.28909984,0.25258827,9.202713
12,-0.015323788,0.11976756,-0.5876074,883.45,Wed May 17 13:29:34 MDT 2017,0.29484683,0.14838304,9.801094,-0.0115406485,-0.012244815,-0.9404213,13.381504,82.679436,-9.292,-11.14,-2.076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.27952304,0.2681506,9.213487
13,-0.027327657,0.09267227,-0.5707855,883.34,Wed May 17 13:29:35 MDT 2017,0.32420868,0.16889428,9.799834,-0.012601063,-0.013705621,-0.9404227,13.276964,80.86889,-9.292,-11.14,-2.076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.29688102,0.26156655,9.229049
14,-0.057438105,0.061486274,-0.5816107,883.37,Wed May 17 13:29:37 MDT 2017,0.34773505,0.1875107,9.798689,-0.013510708,-0.01491857,-0.94231707,13.276964,80.86889,-9.292,-11.441,-2.395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.29029694,0.24899697,9.217078
15,-0.089912176,0.053959876,-0.567626,883.35,Wed May 17 13:29:38 MDT 2017,0.36285117,0.2010226,9.797873,-0.014006738,-0.015851289,-0.942672,13.276964,80.86889,-9.292,-11.441,-2.395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.272939,0.25498247,9.230247
16,-0.08641595,0.034572273,-0.5857363,883.4,Wed May 17 13:29:39 MDT 2017,0.36893174,0.21143195,9.797427,-0.014116417,-0.016440565,-0.942602,13.055021,78.37222,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.2825158,0.24600422,9.211691
17,-0.081617385,0.038421124,-0.5881748,883.42,Wed May 17 13:29:40 MDT 2017,0.36473173,0.21656135,9.797472,-0.013861298,-0.016648171,-0.9425851,13.055021,78.37222,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.28311434,0.25498247,9.209297
18,-0.05503142,0.010212243,-0.5882702,883.4,Wed May 17 13:29:41 MDT 2017,0.35430664,0.22920793,9.797567,-0.013071787,-0.017055368,-0.9425415,12.842896,76.557816,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.29927522,0.23942018,9.209297
19,-0.055857033,0.0066581517,-0.57007027,883.49,Wed May 17 13:29:42 MDT 2017,0.35752645,0.23455767,9.797323,-0.013216895,-0.01734988,-0.9425378,12.842896,76.557816,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.30166942,0.24121583,9.227253
20,-0.067129165,0.023127615,-0.59006786,883.52,Wed May 17 13:29:44 MDT 2017,0.34725076,0.23963603,9.797569,-0.012598697,-0.017450506,-0.94250995,12.925555,74.32725,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.2801216,0.26276365,9.207501
21,-0.06260729,-0.010673374,-0.5777693,883.55,Wed May 17 13:29:45 MDT 2017,0.34871438,0.2506921,9.797241,-0.012507293,-0.017969646,-0.9424892,12.925555,74.32725,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,328,0.2861071,0.24001873,9.219472
22,-0.05372849,-0.01002425,-0.57693577,883.58,Wed May 17 13:29:46 MDT 2017,0.33923703,0.24944443,9.7976055,-0.012090508,-0.017732577,-0.9424803,12.925555,74.32725,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.28550854,0.23942018,9.22067
23,-0.04995209,-3.8087368E-5,-0.59506226,883.55,Wed May 17 13:29:47 MDT 2017,0.33007368,0.25502056,9.797775,-0.0115115605,-0.017906928,-0.9424511,12.762063,73.411644,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.2801216,0.25498247,9.202713
24,-0.039758444,-6.9990754E-4,-0.58402634,883.57,Wed May 17 13:29:48 MDT 2017,0.31748584,0.25807658,9.798112,-0.010852593,-0.017794654,-0.942428,12.762063,73.411644,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.2777274,0.25737667,9.214086
25,-0.031024247,-0.012673289,-0.5847359,883.6,Wed May 17 13:29:50 MDT 2017,0.31354004,0.2586775,9.798223,-0.010677489,-0.017753992,-0.9424221,12.564452,73.411644,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.2825158,0.24600422,9.213487
26,-0.02287811,-0.024081975,-0.58056545,883.66,Wed May 17 13:29:51 MDT 2017,0.30838665,0.2641007,9.798242,-0.010328475,-0.01796923,-0.94240034,12.564452,73.411644,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.28550854,0.24001873,9.217676
27,-0.033921987,-0.015047193,-0.59032726,883.63,Wed May 17 13:29:52 MDT 2017,0.31105083,0.2760152,9.797829,-0.010226258,-0.018575557,-0.9423754,12.564452,73.411644,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.27712885,0.260968,9.207501
28,-0.02945128,-0.039291993,-0.58926105,883.64,Wed May 17 13:29:53 MDT 2017,0.30717868,0.2757194,9.797959,-0.010066916,-0.018489925,-0.9423716,12.372354,72.52478,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.2777274,0.23642741,9.208698
29,-0.020940483,-0.03428951,-0.5764618,883.67,Wed May 17 13:29:54 MDT 2017,0.3130331,0.27730098,9.7977295,-0.010324868,-0.018669177,-0.94237626,12.372354,72.52478,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.29209262,0.24301147,9.221268
30,-0.012695402,-0.033264577,-0.5940161,883.63,Wed May 17 13:29:56 MDT 2017,0.31197062,0.27148765,9.797926,-0.010365919,-0.018404301,-0.9423871,12.187421,71.875885,-9.292,-11.441,-2.079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75,326,0.29927522,0.23822308,9.20391
