n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,2.4038987,-0.2348349,3.8884315,884.22,Tue May 16 08:56:32 MDT 2017,-9.199242,0.14205958,3.39473,0.29145244,0.5026798,-0.39655566,22.68132,56.498047,75.848,30.923,-110.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,-6.795343,-0.092775315,7.2831616
1,0.984848,-0.4407611,4.679382,884.2,Tue May 16 08:56:33 MDT 2017,-9.80389,-0.020721301,0.23172435,0.36310962,0.5969395,-0.37308446,22.68132,56.498047,101.73,29.605,-28.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,-8.819042,-0.46148238,4.911106
2,-4.7458606,-0.07455373,-0.8768225,884.1,Tue May 16 08:56:34 MDT 2017,3.3524354,0.67070997,-9.191394,-0.6921099,-0.7000416,-0.14626937,22.68132,56.498047,24.137,-6.809,90.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,-1.3934253,0.59615624,-10.068216
3,-4.451382,-0.16018999,-1.2297964,884.13,Tue May 16 08:56:35 MDT 2017,4.5746837,0.3774638,-8.666038,-0.7385968,-0.62961435,-0.19570765,22.68132,56.498047,13.734,-12.492,93.801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.12330139,0.2172738,-9.895834
4,-4.2475386,0.14434446,-1.0986557,884.09,Tue May 16 08:56:36 MDT 2017,4.341511,0.07113369,-8.792989,-0.75985223,-0.60907364,-0.17977025,22.68132,56.498047,14.356,-12.794,93.492,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.093972415,0.21547815,-9.8916445
5,-3.865302,0.5307573,-0.94025517,884.06,Tue May 16 08:56:37 MDT 2017,4.0059614,-0.24405164,-8.947798,-0.78663796,-0.58088887,-0.16055007,22.71634,58.687054,14.048,-13.436,93.162,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.14065935,0.28670564,-9.888053
6,-3.3981102,0.7481097,-0.78362465,884.14,Tue May 16 08:56:38 MDT 2017,3.5363753,-0.52125907,-9.131962,-0.80839664,-0.5586499,-0.13572122,22.71634,58.687054,14.048,-12.808,93.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.13826515,0.22685061,-9.915586
7,-2.8508582,0.9137636,-0.5717144,884.17,Tue May 16 08:56:39 MDT 2017,2.9753568,-0.6839202,-9.319331,-0.83135885,-0.53289807,-0.11046736,22.71634,58.687054,14.048,-12.808,93.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.12449849,0.22984336,-9.891046
8,-2.2352324,0.9805015,-0.41722107,884.17,Tue May 16 08:56:40 MDT 2017,2.3597307,-0.74407405,-9.489387,-0.8531979,-0.5058101,-0.085039124,22.383106,57.933567,14.048,-12.808,93.478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.12449849,0.23642741,-9.906608
9,-1.4966236,0.91610754,-0.25188732,884.15,Tue May 16 08:56:41 MDT 2017,1.6336917,-0.695841,-9.644546,-0.87742054,-0.47098798,-0.05713712,22.383106,57.933567,13.745,-12.808,93.792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,227,0.13706805,0.22026655,-9.896433
