n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,0.1152063,-1.934844,0.3495388,873.28,Wed May 17 22:41:59 MDT 2017,-1.0166233,2.8530204,9.327226,0.1365831,-0.07064149,-0.7007755,12.741009,100.0,-17.765,-13.301,-43.791,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,274,-0.90141696,0.91817635,9.6767645
1,1.0197389,-2.1487043,-0.021676064,873.25,Wed May 17 22:42:00 MDT 2017,-3.076358,3.2458472,8.727592,0.2317009,0.017669441,-0.6211175,12.741009,100.0,-6.427,-12.672,-46.701,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,274,-2.0566192,1.0971429,8.705916
2,0.19657302,-2.0482035,-0.0423584,873.32,Wed May 17 22:42:01 MDT 2017,-1.5469028,3.8905416,8.867985,0.21178067,-0.053860404,-0.5763285,12.741009,100.0,-12.808,-12.461,-45.722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,-1.3503298,1.8423382,8.825626
3,0.0030163527,-1.9626021,0.16329384,873.35,Wed May 17 22:42:02 MDT 2017,-1.3036665,3.6924129,8.990936,0.19389708,-0.0634458,-0.5975477,12.3164625,100.0,-14.489,-12.152,-45.413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,-1.3006501,1.7298107,9.15423
4,-0.0435071,-1.7285295,0.3076353,873.29,Wed May 17 22:42:03 MDT 2017,-0.6436288,3.606182,9.096789,0.17003518,-0.08895341,-0.59275573,12.3164625,100.0,-16.194,-13.108,-44.747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,-0.6871359,1.8776526,9.404425
5,0.20458198,-0.6112976,0.16394377,873.36,Wed May 17 22:42:04 MDT 2017,2.7624326,4.9878983,7.9787364,0.026850475,-0.30512226,-0.7939102,12.3164625,100.0,-27.732,-28.187,-31.758,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,2.9670146,4.3766007,8.14268
6,-0.32759327,-0.98504245,-1.4259605,873.36,Wed May 17 22:42:05 MDT 2017,-0.5085817,2.8704762,9.3633375,0.114828266,-0.093272105,-0.7457806,12.3164625,97.309875,-14.352,-18.389,-46.659,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,-0.83617496,1.8854338,7.937377
7,-0.4224669,-2.0692036,-0.48274422,873.33,Wed May 17 22:42:06 MDT 2017,0.4104959,1.88904,9.614229,0.052006252,-0.08094891,-0.6973932,12.3164625,97.309875,-10.525,-9.42,-47.537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,-0.011971008,-0.18016368,9.131485
8,-0.2773986,-1.4620742,-0.33383274,873.3,Wed May 17 22:42:07 MDT 2017,0.51562166,1.406409,9.69157,0.0103752585,-0.07611062,-0.881172,11.908228,96.91348,-11.785,-13.136,-46.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,0.23822308,-0.05566519,9.357738
9,-0.09995116,-0.7159945,-0.39738083,873.31,Wed May 17 22:42:08 MDT 2017,0.30645105,0.6854684,9.7778635,-2.9901E-4,-0.038568422,-0.9157024,11.908228,96.91348,-12.098,-13.136,-46.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,0.20649989,-0.030526072,9.380483
10,0.09540115,-0.20188333,-0.45124817,873.31,Wed May 17 22:42:10 MDT 2017,0.1164857,0.15100655,9.804795,-0.0027943172,-0.009590098,-0.93064934,11.908228,96.91348,-12.098,-13.136,-46.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,0.21188685,-0.050876785,9.353547
11,0.33573174,0.1618068,-0.45055962,873.26,Wed May 17 22:42:11 MDT 2017,-0.04543479,-0.2186691,9.804107,-0.0018064757,0.01096936,-0.9346614,11.885978,94.80999,-12.098,-12.835,-46.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,0.29029694,-0.05686229,9.353547
12,0.4026788,0.46108785,-0.43244267,873.24,Wed May 17 22:42:12 MDT 2017,-0.18600355,-0.5029864,9.791976,0.0,0.02709301,-0.93778896,11.885978,94.80999,-12.098,-12.835,-46.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,0.21667525,-0.04189853,9.359533
13,0.5050952,0.6477704,-0.41131496,873.26,Wed May 17 22:42:13 MDT 2017,-0.28004023,-0.6597414,9.780425,0.0018064757,0.03622487,-0.93869174,11.743831,93.51939,-12.098,-12.835,-46.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,277,0.22505496,-0.011971008,9.36911
