n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z
29,0.056266904,-0.14579916,-0.17277908,907.6175,Thu Nov 10 19:21:01 MST 2016,0.74925673,1.5147855,9.65994,0.08270183,-0.025309693,0.1610388,0.0,0.0,10.341644,30.243301,-27.157211
30,-0.46439344,0.063197374,-0.07778835,907.68115,Thu Nov 10 19:21:02 MST 2016,0.97895074,1.5836995,9.628288,0.088260725,-0.03611039,0.16379578,0.0,0.0,11.668396,29.844284,-26.321411
31,0.09984809,-0.06861067,-0.028504372,907.7086,Thu Nov 10 19:21:03 MST 2016,0.922972,1.3519645,9.669059,0.07593167,-0.03534938,0.16201405,0.0,0.0,9.111786,30.895615,-27.160645
32,0.2435146,-0.3276719,0.64992523,907.7631,Thu Nov 10 19:21:05 MST 2016,0.97082525,1.4418703,9.651367,0.080713615,-0.03745026,0.15687782,0.0,0.0,9.651947,31.160736,-26.607513
33,0.19286895,0.030847311,-0.06116295,907.8213,Thu Nov 10 19:21:06 MST 2016,0.8516539,1.404436,9.668124,0.078483276,-0.030053535,0.17781782,0.0,0.0,11.07254,31.027603,-27.807236
34,-0.45367384,0.22313035,-0.20858097,907.85425,Thu Nov 10 19:21:07 MST 2016,1.0690334,1.4024107,9.646803,0.07997826,-0.041874085,0.16750176,0.0,0.0,10.456848,31.358719,-28.734207
35,0.21085942,-0.43133032,0.085912704,907.91693,Thu Nov 10 19:21:08 MST 2016,0.6448793,1.6013514,9.653506,0.0865525,-0.017799089,0.17835121,0.0,0.0,11.365509,32.13768,-27.07405
36,-0.600796,0.033290386,1.3929157,907.9663,Thu Nov 10 19:21:09 MST 2016,0.72355044,1.5711353,9.652895,0.0860869,-0.020696387,0.19362949,0.0,0.0,14.388275,32.035446,-27.163696
37,-0.1865989,0.13421822,0.041623116,908.0267,Thu Nov 10 19:21:10 MST 2016,0.7215768,1.7250822,9.626723,0.09406428,-0.01804486,0.20422623,0.0,0.0,15.258789,31.203842,-27.06604
38,-0.5779933,0.21768403,-0.44554043,908.06555,Thu Nov 10 19:21:11 MST 2016,1.1458241,1.8993189,9.55249,0.107696265,-0.036879305,0.20992817,0.0,0.0,15.234375,30.18303,-27.0607
39,-0.13341725,-0.34215975,0.0045642853,908.09955,Thu Nov 10 19:21:12 MST 2016,1.3529913,2.0620382,9.491459,0.11804648,-0.046209194,0.20441818,0.0,0.0,11.270905,28.149033,-29.27208
40,0.0048378706,-0.08361983,-0.11526871,908.0891,Thu Nov 10 19:21:13 MST 2016,1.3503863,1.9244641,9.520677,0.10989086,-0.050045907,0.18212718,0.0,0.0,10.512924,29.999542,-28.635025
41,0.09793794,-0.5185534,0.3991022,908.1006,Thu Nov 10 19:21:14 MST 2016,1.5041077,1.8397323,9.51438,0.10572309,-0.06102658,0.15994242,0.0,0.0,9.365845,30.399704,-28.91426
42,0.047832847,-0.33734226,-0.059036255,908.0973,Thu Nov 10 19:21:15 MST 2016,1.5677309,1.7929561,9.51304,0.102743275,-0.0664365,0.14289685,0.0,0.0,8.917236,30.218124,-28.543854
43,-0.39599538,-0.038443804,0.4339342,908.0875,Thu Nov 10 19:21:16 MST 2016,1.906677,1.6667804,9.474008,0.09720069,-0.08667233,0.12285427,0.0,0.0,7.2452545,31.035233,-29.474258
44,-0.5546359,-0.089303374,0.21001816,908.07806,Thu Nov 10 19:21:17 MST 2016,1.6470319,1.7071981,9.515416,0.09649233,-0.0744179,0.10946478,0.0,0.0,6.1740875,30.93338,-31.04515
45,-0.58110285,-0.25881147,0.012756348,908.06177,Thu Nov 10 19:21:18 MST 2016,1.6100184,1.7935464,9.505862,0.09969861,-0.07345813,0.095635615,0.0,0.0,3.831482,29.693222,-31.687927
46,-1.0083704,-0.96895266,0.30950165,908.0689,Thu Nov 10 19:21:19 MST 2016,1.4613159,1.5856557,9.566642,0.0871515,-0.06812949,0.08052208,0.0,0.0,2.9289246,29.161072,-31.316376
47,-0.38552487,-0.11599207,-0.087120056,908.0473,Thu Nov 10 19:21:20 MST 2016,1.2812093,1.4693379,9.610928,0.08022913,-0.059517585,0.07837058,0.0,0.0,2.2853851,28.29628,-31.311798
48,-0.5785768,-0.27881157,0.16832733,908.0377,Thu Nov 10 19:21:21 MST 2016,1.3344749,1.4205889,9.611009,0.07761622,-0.062854216,0.073026,0.0,0.0,1.6441345,27.516174,-31.12297
49,0.5150777,0.5532588,0.043977737,908.0212,Thu Nov 10 19:21:22 MST 2016,1.0089629,1.8678102,9.574114,0.09981942,-0.04349839,0.08371765,0.0,0.0,3.5583496,29.427338,-30.762863
50,1.1341089,0.9952378,-1.0569568,908.00244,Thu Nov 10 19:21:23 MST 2016,0.93064797,6.5843644,7.2076645,0.3639691,0.0061564916,0.14592756,0.0,0.0,6.980133,16.18042,-36.790848
51,0.08428812,0.60202646,-0.339828,907.9725,Thu Nov 10 19:21:24 MST 2016,1.190079,6.2493587,7.463218,0.34552988,-0.009533751,0.15004829,0.0,0.0,10.20546,17.097092,-35.5011
52,-0.24461627,0.28359652,0.17367125,908.0283,Thu Nov 10 19:21:25 MST 2016,2.0432925,5.4977813,7.859374,0.30702186,-0.07085943,0.122101694,0.0,0.0,9.046936,16.978836,-33.9283
53,-0.14825606,0.75836945,-1.1061845,907.9971,Thu Nov 10 19:21:26 MST 2016,1.1647197,6.4908767,7.2582593,0.35915846,-0.030609747,0.08618571,0.0,0.0,1.5110016,14.442825,-36.87706
54,-0.6611001,0.33206272,-0.8166375,907.9692,Thu Nov 10 19:21:27 MST 2016,0.7991591,6.4951615,7.3037395,0.35603788,0.029153934,0.18933573,0.0,0.0,3.243637,16.272736,-38.088226
55,-1.2339547,0.72499037,0.32653856,907.9779,Thu Nov 10 19:21:29 MST 2016,0.8096476,6.29476,7.476019,0.33835122,0.065936275,0.2956273,0.0,0.0,7.8479767,15.257263,-35.214233
56,-0.36935526,0.6463342,-0.35134315,907.9585,Thu Nov 10 19:21:30 MST 2016,-0.23442048,6.6397285,7.2131443,0.31678706,0.17854401,0.42846334,0.0,0.0,11.750412,10.819626,-31.119537
57,-1.1371249,0.24513292,-0.25421667,907.9452,Thu Nov 10 19:21:31 MST 2016,0.22728498,6.723487,7.1353664,0.3073324,0.20431437,0.5403982,0.0,0.0,13.773346,5.9108734,-26.562119
58,-0.6315689,-0.551826,0.73288536,907.93976,Thu Nov 10 19:21:32 MST 2016,1.157636,7.10563,6.65885,0.36673734,0.16123536,0.49883324,0.0,0.0,10.712433,0.55389404,-23.392487
59,-0.32414305,-0.5125747,0.4312029,907.90094,Thu Nov 10 19:21:33 MST 2016,1.0483708,6.5265236,7.244018,0.33220196,0.14247714,0.498765,0.0,0.0,10.149384,-0.7461548,-20.98198
60,-1.0168543,-1.2040219,0.32760906,907.8696,Thu Nov 10 19:21:34 MST 2016,2.4935703,4.03889,8.5813675,0.24520406,0.04844595,0.6587062,0.0,0.0,10.478592,-1.9348145,-19.681168
61,-1.9670426,-0.6967375,-0.36810303,907.8701,Thu Nov 10 19:21:35 MST 2016,-0.5597226,1.9589874,9.592678,0.095285736,0.042780645,0.1424163,0.0,0.0,8.21228,3.994751,-25.539017
62,0.04241517,0.12456107,-0.18869781,907.8616,Thu Nov 10 19:21:36 MST 2016,0.21874824,2.057948,9.585791,0.10580838,0.008079504,0.18008113,0.0,0.0,2.9296875,6.444168,-29.16069
63,0.18454638,1.2440536,-0.34279633,907.86273,Thu Nov 10 19:21:37 MST 2016,0.20216043,2.227511,9.548179,0.11444875,0.008936864,0.1665327,0.0,0.0,2.3220062,7.1105957,-29.16565
64,-0.8964649,0.88674927,-0.13699627,907.84106,Thu Nov 10 19:21:38 MST 2016,-0.18467198,2.5809238,9.459128,0.12937737,0.0313075,0.16375938,0.0,0.0,2.3910522,6.258774,-28.512573
65,-0.71048605,-0.24799252,-0.12567425,907.8318,Thu Nov 10 19:21:39 MST 2016,-0.5423398,2.3628316,9.502278,0.11004272,0.05838898,0.25719404,0.0,0.0,1.7688751,2.5024414,-28.401184
66,-0.66178024,0.21397161,-0.18469715,907.81757,Thu Nov 10 19:21:40 MST 2016,-0.58470863,2.366105,9.49895,0.109437525,0.060924325,0.26052725,0.0,0.0,-0.39711,-2.5650024,-28.098679
67,-0.8070944,0.15238166,0.016176224,907.8144,Thu Nov 10 19:21:41 MST 2016,-0.9015442,2.362157,9.475117,0.12542419,0.034239117,-0.09711598,0.0,0.0,-4.2873383,-5.290985,-27.624893
68,-0.65252334,-0.11104894,-0.018842697,907.82056,Thu Nov 10 19:21:42 MST 2016,-0.9699325,2.5380685,9.422729,0.13585234,-0.03344645,-0.56432706,0.0,0.0,-7.3574066,-7.2387695,-26.044083
69,0.043866158,-0.07636356,0.008399963,907.85,Thu Nov 10 19:21:43 MST 2016,-0.7443278,2.6329944,9.417203,0.12798843,-0.05895136,-0.6431775,0.0,0.0,-9.148407,-7.707596,-25.303268
70,0.26060584,-0.036696672,0.041119576,907.882,Thu Nov 10 19:21:44 MST 2016,-0.47693363,2.6281219,9.435884,0.11420704,-0.07655448,-0.68955415,0.0,0.0,-11.380768,-8.005142,-26.968002
71,-0.08624449,-0.30456138,0.28573036,907.8771,Thu Nov 10 19:21:45 MST 2016,-0.4794428,2.6312382,9.434888,0.111628205,-0.08058381,-0.71431255,0.0,0.0,-11.316299,-9.017563,-28.441238
72,0.03917414,-0.12000036,0.012728691,907.85815,Thu Nov 10 19:21:47 MST 2016,-0.32598606,2.452735,9.489373,0.09561148,-0.08387519,-0.74664074,0.0,0.0,-11.138153,-9.020233,-26.962662
73,-0.089845255,-0.04647374,-0.009044647,907.8538,Thu Nov 10 19:21:48 MST 2016,-0.24819115,2.3383255,9.520557,0.08753549,-0.08321169,-0.7560552,0.0,0.0,-12.567902,-9.303284,-27.793121
74,0.23581387,-0.03659153,-0.13545609,907.83093,Thu Nov 10 19:21:49 MST 2016,-0.112524875,2.3735142,9.514419,0.08076419,-0.09152497,-0.77446663,0.0,0.0,-12.68425,-10.499191,-27.139664
75,0.4402458,0.0071179867,-0.26116276,907.80273,Thu Nov 10 19:21:50 MST 2016,-0.018783519,2.384298,9.512368,0.0747901,-0.09700837,-0.79074514,0.0,0.0,-12.050247,-10.06546,-25.940323
76,0.018594768,0.033682108,0.03689766,907.75433,Thu Nov 10 19:21:51 MST 2016,0.009553116,2.5060909,9.481024,0.07587487,-0.104141,-0.79926467,0.0,0.0,-12.07962,-11.254883,-26.488876
77,-0.1287561,0.047519207,0.019351006,907.718,Thu Nov 10 19:21:52 MST 2016,-0.068042785,2.656668,9.439696,0.0828187,-0.108859934,-0.8034803,0.0,0.0,-10.474396,-11.137772,-25.841904
78,0.029510228,0.002850294,0.05363083,907.6379,Thu Nov 10 19:21:53 MST 2016,0.02524628,2.703139,9.426705,0.079509936,-0.11423627,-0.80745894,0.0,0.0,-11.471176,-11.927414,-25.4673
79,-0.014159868,-0.09762478,0.16132641,907.57117,Thu Nov 10 19:21:54 MST 2016,-0.029200574,2.7278574,9.419572,0.08166578,-0.114307545,-0.8117199,0.0,0.0,-11.737061,-11.847305,-25.652695
80,0.05174669,-0.02293706,-0.07225323,907.49664,Thu Nov 10 19:21:55 MST 2016,0.10210617,2.6216052,9.449187,0.07037509,-0.1152079,-0.82482475,0.0,0.0,-11.754227,-12.612152,-25.741196
81,-0.070674405,0.028069735,0.091828346,907.442,Thu Nov 10 19:21:56 MST 2016,0.015472672,2.5933473,9.4575205,0.07346192,-0.11137322,-0.82402897,0.0,0.0,-11.738968,-11.930084,-25.930023
82,-0.027367495,0.080821276,0.0059604645,907.3689,Thu Nov 10 19:21:57 MST 2016,-0.020762818,2.5689244,9.464173,0.073945135,-0.10951511,-0.82595843,0.0,0.0,-11.392975,-12.345505,-26.389694
83,-0.029214643,0.002106905,-0.043437958,907.28,Thu Nov 10 19:21:58 MST 2016,-0.06924411,2.5855436,9.459416,0.07585201,-0.10931822,-0.82912225,0.0,0.0,-11.3910675,-12.261581,-26.205444
84,-0.010486111,-0.041621923,-0.10706329,907.1935,Thu Nov 10 19:22:00 MST 2016,-0.095602125,2.6151075,9.4510565,0.07768851,-0.10997613,-0.8296723,0.0,0.0,-11.927032,-12.363815,-25.187683
85,0.028041478,0.013487339,-0.062054634,907.0917,Thu Nov 10 19:22:01 MST 2016,0.057925235,2.587052,9.45908,0.069663905,-0.11343761,-0.83273447,0.0,0.0,-10.499573,-12.254715,-23.52295
86,0.0061881,0.028578997,9.57489E-4,907.0199,Thu Nov 10 19:22:02 MST 2016,-0.016152387,2.6339548,9.446291,0.07051448,-0.11576236,-0.849296,0.0,0.0,-10.506439,-12.600327,-22.411728
87,0.10920441,0.07776475,0.16901302,906.93964,Thu Nov 10 19:22:03 MST 2016,0.02615404,2.595321,9.456957,0.06773816,-0.11506949,-0.84894323,0.0,0.0,-11.491394,-12.77771,-25.554276
88,0.06107817,0.03502226,-0.019708633,906.8785,Thu Nov 10 19:22:04 MST 2016,-0.09593479,2.6136432,9.451458,0.075167984,-0.11162234,-0.84166265,0.0,0.0,-10.409546,-12.154388,-26.297379
89,-0.10124858,-0.012876272,-0.025326729,906.82025,Thu Nov 10 19:22:05 MST 2016,-0.18296164,2.660017,9.437225,0.081222,-0.11062735,-0.8367904,0.0,0.0,-10.318756,-12.067413,-26.298904
