n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z
118,-0.1444273,-0.111997366,-0.029996872,905.6028,Thu Nov 10 19:22:37 MST 2016,1.272803,1.9948369,9.516879,0.04726692,-0.11198239,-0.56328976,0.0,0.0,-26.8219,5.089569,-28.341675
119,0.026532054,-0.036975265,-0.019143105,905.61365,Thu Nov 10 19:22:38 MST 2016,1.2525398,1.8861917,9.541688,0.041559502,-0.10854544,-0.5762432,0.0,0.0,-26.321793,3.653717,-27.96402
120,-0.083580375,0.023056984,-0.06247139,905.6484,Thu Nov 10 19:22:39 MST 2016,1.1824938,1.8762999,9.55257,0.04033148,-0.10643238,-0.5982654,0.0,0.0,-25.828934,1.8814087,-28.693008
121,-0.07627219,0.030218363,0.08619404,905.6732,Thu Nov 10 19:22:40 MST 2016,0.938856,1.9420869,9.566463,0.049998112,-0.09872321,-0.60281605,0.0,0.0,-26.262665,2.3841858,-29.159164
122,-0.0032827854,0.01165247,-0.04189968,905.69214,Thu Nov 10 19:22:41 MST 2016,1.0021944,1.8734014,9.573732,0.041903287,-0.10059619,-0.6288146,0.0,0.0,-27.864075,-1.304245,-29.97322
123,-0.09755641,-0.043990016,-0.008467674,905.70776,Thu Nov 10 19:22:42 MST 2016,0.7486895,1.904586,9.590745,0.05090832,-0.09174097,-0.63275236,0.0,0.0,-24.531174,0.38528442,-29.701996
124,0.13789546,-0.06215322,0.037470818,905.7393,Thu Nov 10 19:22:44 MST 2016,1.0084594,1.9510603,9.55755,0.04285552,-0.10423042,-0.6428809,0.0,0.0,-23.383713,-0.11062622,-27.202606
125,-0.085802436,0.02567041,-0.027155876,905.7519,Thu Nov 10 19:22:45 MST 2016,1.1337482,1.8923463,9.555314,0.034491654,-0.10781882,-0.65619594,0.0,0.0,-23.768997,-1.3122559,-26.734161
126,-0.11077988,-0.019032955,0.037602425,905.7795,Thu Nov 10 19:22:46 MST 2016,1.1506307,1.877799,9.556166,0.030764358,-0.10874142,-0.6738792,0.0,0.0,-24.142456,-2.084732,-27.007294
127,-0.012390733,-0.008661389,-9.393692E-4,905.80054,Thu Nov 10 19:22:47 MST 2016,1.0008719,1.8973118,9.569161,0.03613555,-0.103936404,-0.6780647,0.0,0.0,-21.60492,-3.8970947,-27.273941
128,-0.10313463,0.017731309,-0.096907616,905.83484,Thu Nov 10 19:22:48 MST 2016,0.935505,1.8933263,9.576562,0.036519602,-0.10196846,-0.6905834,0.0,0.0,-21.168137,-4.2297363,-26.902008
129,-0.013939738,-0.060489774,0.05631447,905.86145,Thu Nov 10 19:22:49 MST 2016,0.9797745,1.8938673,9.572027,0.033217877,-0.104206696,-0.7024347,0.0,0.0,-23.737335,-3.7822723,-25.795746
130,-0.0104551315,-0.06694424,0.013804436,905.89844,Thu Nov 10 19:22:50 MST 2016,0.9388797,1.878771,9.579098,0.033210214,-0.10246477,-0.70896804,0.0,0.0,-19.678879,-5.213928,-27.450562
131,-0.15537483,-0.04291928,0.109690666,905.9331,Thu Nov 10 19:22:51 MST 2016,0.9408707,1.9326497,9.568177,0.032782696,-0.105280735,-0.72388285,0.0,0.0,-19.258118,-6.226349,-27.167511
132,0.02264297,-0.001432538,0.012272835,905.9655,Thu Nov 10 19:22:53 MST 2016,0.9567389,1.87661,9.577754,0.028633552,-0.10416608,-0.7343257,0.0,0.0,-18.706131,-5.447769,-27.26326
133,-0.086652875,-0.0039852858,0.28968906,906.00085,Thu Nov 10 19:22:54 MST 2016,0.92787397,1.9054317,9.574903,0.03271026,-0.10366223,-0.7213477,0.0,0.0,-18.152237,-4.5848846,-27.17514
134,-0.21982533,0.032367706,-0.03324604,906.0398,Thu Nov 10 19:22:55 MST 2016,0.8273311,1.8202661,9.600653,0.03446569,-0.09651445,-0.71441555,0.0,0.0,-14.534378,-5.8547974,-29.199219
135,0.010276377,0.02709949,0.09082031,906.0885,Thu Nov 10 19:22:56 MST 2016,0.60735005,1.8327689,9.6147,0.042012393,-0.08956368,-0.7222389,0.0,0.0,-17.99202,-5.3474426,-27.171326
136,-0.13164538,0.057926536,-0.06374645,906.1765,Thu Nov 10 19:22:57 MST 2016,0.59136397,1.8118733,9.619657,0.042472117,-0.08792123,-0.7175946,0.0,0.0,-16.941452,-6.0863495,-27.812576
137,-0.17562735,-0.008015871,-0.008976936,906.2197,Thu Nov 10 19:22:58 MST 2016,0.36664084,1.8500332,9.623582,0.053427584,-0.08049441,-0.7064522,0.0,0.0,-15.849304,-5.041504,-27.725983
138,-0.011238605,0.056834698,0.115169525,906.3006,Thu Nov 10 19:22:59 MST 2016,0.41216084,1.7525294,9.639977,0.047095586,-0.07924635,-0.7167946,0.0,0.0,-15.519333,-6.139374,-27.71988
139,-0.044561356,-0.039853215,0.069779396,906.36456,Thu Nov 10 19:23:00 MST 2016,0.40640008,1.7789087,9.635389,0.048466068,-0.07989341,-0.7148502,0.0,0.0,-16.381073,-4.9678802,-27.91214
140,-0.19271985,-0.053954482,0.09053993,906.43774,Thu Nov 10 19:23:01 MST 2016,0.33226085,1.6976004,9.652883,0.048194867,-0.07427797,-0.7158926,0.0,0.0,-15.602112,-5.883789,-28.183365
141,0.007717818,-0.07436454,-0.017220497,906.52673,Thu Nov 10 19:23:02 MST 2016,0.38780057,1.6295648,9.662532,0.04145844,-0.07502799,-0.73679173,0.0,0.0,-15.792084,-6.4006805,-27.626038
142,-0.07531762,-0.028500319,0.06152439,906.58716,Thu Nov 10 19:23:04 MST 2016,0.27827254,1.6202296,9.667875,0.044575658,-0.07133423,-0.7434593,0.0,0.0,-16.584778,-6.0813904,-27.07367
143,-0.054484576,0.068321705,-0.028000832,906.6446,Thu Nov 10 19:23:05 MST 2016,0.39089078,1.6877886,9.652408,0.042116754,-0.07804094,-0.7472201,0.0,0.0,-15.982437,-6.915283,-27.623749
144,-0.15226075,0.012994289,-0.06675339,906.70703,Thu Nov 10 19:23:06 MST 2016,0.46325833,1.8162553,9.625851,0.044091336,-0.085288785,-0.74380916,0.0,0.0,-16.41922,-6.5864563,-27.347565
145,-0.19442707,-0.07613301,-0.056453705,906.72,Thu Nov 10 19:23:07 MST 2016,0.5837562,1.9076586,9.601586,0.042701885,-0.09290806,-0.7427403,0.0,0.0,-16.970444,-7.366562,-26.789856
146,-0.056814015,0.037709236,0.20748997,906.74554,Thu Nov 10 19:23:08 MST 2016,0.4667054,1.9744886,9.594476,0.049243286,-0.09161318,-0.744233,0.0,0.0,-16.357803,-7.777405,-26.879883
147,0.0044135153,-0.010866165,-0.042817116,906.7644,Thu Nov 10 19:23:09 MST 2016,0.35935318,1.9737192,9.599255,0.05316833,-0.08801914,-0.74552566,0.0,0.0,-15.6311035,-7.169342,-26.327896
148,-0.031108618,-0.020535707,0.03236866,906.7721,Thu Nov 10 19:23:10 MST 2016,0.39716747,2.0215335,9.587808,0.052645437,-0.09157696,-0.7503869,0.0,0.0,-16.101074,-8.196259,-26.96991
149,0.0513573,0.01611638,-0.1387558,906.7639,Thu Nov 10 19:23:11 MST 2016,0.43740034,2.0092123,9.588647,0.049479865,-0.093095936,-0.75873363,0.0,0.0,-15.372467,-7.500458,-26.880646
150,0.06886485,0.10739732,0.009921074,906.77625,Thu Nov 10 19:23:13 MST 2016,0.47802883,2.005264,9.587533,0.045298938,-0.09549798,-0.7751314,0.0,0.0,-15.76004,-8.872604,-26.31836
151,0.17311615,0.033654213,-0.056082726,906.78467,Thu Nov 10 19:23:14 MST 2016,0.58168507,2.0400999,9.574447,0.04329014,-0.099825166,-0.76860094,0.0,0.0,-14.661789,-7.570648,-26.602554
152,-0.03856045,0.026548862,0.0074806213,906.7947,Thu Nov 10 19:23:15 MST 2016,0.7174518,2.116088,9.548708,0.03681639,-0.108609155,-0.78859717,0.0,0.0,-12.744522,-9.225082,-27.147293
153,0.03355795,0.042179823,0.08753204,906.7894,Thu Nov 10 19:23:16 MST 2016,0.7908215,2.1138053,9.543417,0.03158276,-0.1114615,-0.8001723,0.0,0.0,-13.96904,-8.409119,-25.857544
154,-0.030851245,-0.013581753,0.076063156,906.7969,Thu Nov 10 19:23:17 MST 2016,0.71766907,2.1403427,9.543284,0.033371348,-0.110969745,-0.8109006,0.0,0.0,-9.773254,-7.7114105,-27.614975
155,0.19270647,-0.061541796,-0.15139866,906.8198,Thu Nov 10 19:23:18 MST 2016,1.000438,2.1676614,9.511612,0.019670451,-0.121061355,-0.82274324,0.0,0.0,-7.7243805,-7.6690674,-26.874924
156,0.08628458,0.083538294,0.14831638,906.8413,Thu Nov 10 19:23:19 MST 2016,0.8940822,2.0733736,9.543171,0.015959304,-0.11479967,-0.84922945,0.0,0.0,-5.850601,-7.4516296,-27.798843
157,-0.3599037,0.0788126,-0.1781416,906.8809,Thu Nov 10 19:23:21 MST 2016,1.0224597,2.0426142,9.536912,0.019644992,-0.11561528,-0.80104053,0.0,0.0,-5.9051514,-6.010437,-27.066422
158,-0.6860765,0.13490176,-0.2394371,906.96277,Thu Nov 10 19:23:22 MST 2016,0.89071125,1.9755623,9.564214,0.035428368,-0.10538346,-0.72858185,0.0,0.0,-5.3504944,-5.0582886,-27.995682
159,-0.84790397,-0.022194982,0.024869919,907.05865,Thu Nov 10 19:23:23 MST 2016,0.67483747,1.8098807,9.614537,0.04153489,-0.08983272,-0.7004045,0.0,0.0,-4.7367096,-5.469513,-28.08609
160,-1.2286909,-0.047643542,-0.010982513,907.178,Thu Nov 10 19:23:24 MST 2016,0.33268115,1.5858239,9.67186,0.04685908,-0.06838581,-0.68891245,0.0,0.0,-6.496811,-4.65889,-27.999496
161,-0.6602638,-0.17586732,0.051122665,907.35126,Thu Nov 10 19:23:25 MST 2016,0.16875303,1.4546537,9.696695,0.047453247,-0.057916716,-0.69338113,0.0,0.0,-7.7423096,-4.598999,-28.462982
162,-0.110719055,-0.2625624,0.08293247,907.4527,Thu Nov 10 19:23:26 MST 2016,-0.2574712,1.2615548,9.721758,0.053266186,-0.038613696,-0.73537624,0.0,0.0,-8.835983,-5.7273865,-29.011536
163,0.11435786,-0.19727731,0.18000793,907.6201,Thu Nov 10 19:23:27 MST 2016,-0.046657044,1.1285497,9.7413845,0.04002652,-0.041538704,-0.7468943,0.0,0.0,-9.613419,-4.7275543,-28.462982
164,0.21398298,-0.031664133,0.016724586,907.7856,Thu Nov 10 19:23:28 MST 2016,0.1761448,1.0146828,9.752423,0.026056796,-0.0456705,-0.7699514,0.0,0.0,-10.062408,-4.9102783,-27.907562
165,-0.16216171,-0.2911451,0.06444168,907.9302,Thu Nov 10 19:23:30 MST 2016,0.30981967,0.96071804,9.754559,0.017619934,-0.04842986,-0.7883945,0.0,0.0,-10.329437,-4.9129486,-28.555298
166,-0.23559931,-0.5015505,-0.04491234,908.07324,Thu Nov 10 19:23:31 MST 2016,0.32989988,0.7185981,9.774721,0.008331226,-0.03947817,-0.80241543,0.0,0.0,-10.248566,-5.2539825,-28.09105
167,-0.035327286,-0.18854383,-0.06338024,908.23224,Thu Nov 10 19:23:32 MST 2016,0.45647785,0.362136,9.789325,-0.009513708,-0.02815769,-0.83919775,0.0,0.0,-10.258102,-5.6797028,-27.904129
168,-0.03475207,-0.18294239,0.09497547,908.37427,Thu Nov 10 19:23:33 MST 2016,0.67689925,0.36580503,9.77642,-0.019650234,-0.033988155,-0.8512684,0.0,0.0,-10.7925415,-5.6907654,-28.181076
169,0.17400795,-0.116506755,0.25068188,908.4591,Thu Nov 10 19:23:34 MST 2016,0.6609314,0.3451868,9.778262,-0.020840984,-0.031828582,-0.872232,0.0,0.0,-9.744263,-6.515503,-28.546524
170,0.17034131,-0.010671794,-0.11745548,908.5531,Thu Nov 10 19:23:35 MST 2016,0.9193712,0.3722243,9.756361,-0.035692707,-0.03591699,-0.9183816,0.0,0.0,-8.9530945,-6.92749,-27.619171
171,0.05620408,0.07944551,-0.009800911,908.63043,Thu Nov 10 19:23:36 MST 2016,0.97424465,0.39644086,9.75008,-0.04002159,-0.035812337,-0.94022614,0.0,0.0,-7.1243286,-4.8480988,-27.07367
172,-0.6130878,-0.01437968,0.20452595,908.69116,Thu Nov 10 19:23:38 MST 2016,0.91208935,0.46167073,9.7532215,-0.03656655,-0.037241947,-0.94604665,0.0,0.0,-3.6876678,-2.46315,-29.117966
173,-0.41109896,0.016282082,0.10658836,908.7507,Thu Nov 10 19:23:39 MST 2016,1.1236631,0.5161671,9.728377,-0.055909414,-0.029409237,-0.99656767,0.0,0.0,-2.4074554,-4.519272,-37.888718
174,-0.505213,-0.085062444,0.066381454,908.7975,Thu Nov 10 19:23:40 MST 2016,1.053414,0.634355,9.729249,0.05766957,0.024910757,0.9890407,0.0,0.0,-0.6023407,-7.498169,-28.905106
175,-0.35576755,1.1188288,-0.29945374,908.8338,Thu Nov 10 19:23:41 MST 2016,0.8740263,0.9186955,9.724323,0.05633896,0.03199098,0.95511615,0.0,0.0,0.37956238,-3.6708832,-24.393082
176,-0.08709133,0.568321,0.10666084,908.8423,Thu Nov 10 19:23:42 MST 2016,0.67644405,1.5946912,9.65245,0.08821238,0.008980459,0.47983932,0.0,0.0,1.6986847,-0.5771637,-24.964523
177,0.31348455,0.7143966,-0.072509766,908.8533,Thu Nov 10 19:23:43 MST 2016,1.0630083,1.8325679,9.575077,0.10557585,-0.025703985,0.2812228,0.0,0.0,3.100586,2.3651123,-29.04663
178,0.5266954,0.17481065,0.33321953,908.90576,Thu Nov 10 19:23:45 MST 2016,1.0791954,2.2844288,9.475607,0.124841966,-0.032380037,0.19353133,0.0,0.0,3.4435272,5.6964874,-30.451202
179,0.09522247,-0.15540814,0.038256645,908.9657,Thu Nov 10 19:23:46 MST 2016,1.0568273,2.4875827,9.4268465,0.13585766,-0.030121304,0.18074825,0.0,0.0,4.4136047,9.0286255,-29.174423
180,-0.4009238,-0.5479212,0.34040833,909.0448,Thu Nov 10 19:23:47 MST 2016,0.7995985,2.5825744,9.426629,0.13800213,-0.018195791,0.1667127,0.0,0.0,3.8780212,9.020615,-30.191422
181,-0.5474404,-0.57539606,-0.059687614,909.0882,Thu Nov 10 19:23:48 MST 2016,0.46969715,2.4456193,9.485185,0.12802391,2.8767975E-4,0.18924557,0.0,0.0,5.750656,9.138489,-28.157043
182,-0.32486892,-0.5925002,0.36549664,909.1403,Thu Nov 10 19:23:49 MST 2016,0.52406347,2.3239758,9.512879,0.12235486,0.002722565,0.23980933,0.0,0.0,7.2109222,6.879425,-28.883743
183,-0.7263263,-0.9642277,1.2416868,909.1947,Thu Nov 10 19:23:50 MST 2016,0.20989883,2.3926415,9.507975,0.121128745,0.02357973,0.2740192,0.0,0.0,7.4596405,6.1195374,-28.879166
184,-0.48034203,-1.755918,0.31832123,909.2157,Thu Nov 10 19:23:51 MST 2016,0.6377679,1.6505196,9.645695,0.09052761,-0.0033468541,0.32438493,0.0,0.0,4.269409,2.8953552,-27.846909
185,-0.14908355,-1.5580827,0.32928944,909.2429,Thu Nov 10 19:23:52 MST 2016,0.6695354,1.1028038,9.721416,0.064742446,-0.01241516,0.34793508,0.0,0.0,3.768158,4.2411804,-26.930237
186,-0.17897046,1.192902,-0.30572033,909.2461,Thu Nov 10 19:23:54 MST 2016,0.64728516,1.1429682,9.718284,0.06636661,-0.010045954,0.35619652,0.0,0.0,4.296875,4.0870667,-27.853775
187,-0.37518123,1.4104004,-0.29521084,909.23517,Thu Nov 10 19:23:55 MST 2016,0.49132264,1.5215102,9.675433,0.08173106,0.0032042216,0.34318256,0.0,0.0,3.4820557,3.4740448,-28.035736
188,-0.6120707,0.6876787,-0.16268921,909.24414,Thu Nov 10 19:23:56 MST 2016,0.11841557,1.832315,9.633223,0.08716418,0.035280693,0.43226776,0.0,0.0,2.3952484,-1.1455536,-27.365494
189,0.4143704,0.2509663,-0.8789644,909.2528,Thu Nov 10 19:23:57 MST 2016,-0.12077711,2.1370256,9.5702095,0.09120714,0.061125662,0.5058845,0.0,0.0,-2.6985168,-5.857086,-26.418686
190,-0.21276647,0.1487019,0.07882404,909.26697,Thu Nov 10 19:23:58 MST 2016,0.05400939,2.3448262,9.52204,0.08860593,-0.081609,-0.6555419,0.0,0.0,-10.837555,-7.6576233,-25.95253
191,-0.97272134,0.008111,-0.08413029,909.2613,Thu Nov 10 19:23:59 MST 2016,0.117418334,2.5484853,9.468993,0.09726454,-0.08806444,-0.63084733,0.0,0.0,-15.980911,-6.9229126,-26.05095
192,0.4983582,0.015709162,-0.31431484,909.2722,Thu Nov 10 19:24:01 MST 2016,0.5912335,2.6471436,9.42409,0.08509884,-0.11074003,-0.63475275,0.0,0.0,-21.648788,-5.7762146,-25.968552
193,0.5234025,-0.035105705,-0.5131712,909.2848,Thu Nov 10 19:24:02 MST 2016,0.8171644,2.5398984,9.436713,0.07252946,-0.11662349,-0.6404956,0.0,0.0,-20.74852,-5.328369,-26.341248
194,0.4590459,-0.08085656,-0.15446568,909.2954,Thu Nov 10 19:24:03 MST 2016,1.0013038,2.4564395,9.441064,0.058497354,-0.12336037,-0.66866165,0.0,0.0,-21.91391,-5.6949615,-26.33934
195,0.10884869,-0.08604455,0.029211044,909.30597,Thu Nov 10 19:24:04 MST 2016,1.2025727,2.390778,9.434425,0.04689197,-0.12953499,-0.68049896,0.0,0.0,-21.37947,-5.687332,-25.598907
196,-0.015693307,-0.5701268,-0.001042366,909.3238,Thu Nov 10 19:24:05 MST 2016,1.2019459,2.1185899,9.499331,0.034743804,-0.12025715,-0.69314075,0.0,0.0,-21.466827,-5.599594,-26.340485
197,-0.07612753,-0.037282586,0.025209427,909.3643,Thu Nov 10 19:24:06 MST 2016,1.1321626,1.9717867,9.539426,0.028611578,-0.113163635,-0.7137893,0.0,0.0,-20.406723,-5.9150696,-26.522827
198,-0.1370467,-0.43857086,0.035923004,909.38696,Thu Nov 10 19:24:07 MST 2016,1.1380879,1.8128148,9.570206,0.020764556,-0.10781523,-0.72667164,0.0,0.0,-21.047592,-6.697464,-26.055908
199,-0.098754466,-0.6366874,0.10275173,909.4373,Thu Nov 10 19:24:09 MST 2016,1.0008365,1.2784516,9.671312,0.0030667789,-0.083011575,-0.7614772,0.0,0.0,-19.189453,-7.1647644,-26.14479
200,-0.037576377,0.7902001,-0.16381073,909.46936,Thu Nov 10 19:24:10 MST 2016,0.9855683,1.1877683,9.684433,0.001517846,-0.07892414,-0.75478685,0.0,0.0,-20.215225,-5.312729,-27.26593
201,0.19232476,-0.18650079,-0.5981693,909.452,Thu Nov 10 19:24:11 MST 2016,0.9158809,1.2201815,9.687244,0.006373801,-0.07776482,-0.7457735,0.0,0.0,-20.41626,-6.340027,-26.42746
202,-0.37940443,0.8883128,-0.20472813,909.4562,Thu Nov 10 19:24:12 MST 2016,0.996993,1.7195275,9.603104,0.023951542,-0.09901647,-0.71916085,0.0,0.0,-19.777298,-5.6468964,-26.338959
203,-0.24141258,0.44029653,0.01900673,909.4964,Thu Nov 10 19:24:13 MST 2016,0.8608893,2.0041363,9.560998,0.04150316,-0.10393379,-0.7024903,0.0,0.0,-19.948196,-5.306244,-27.264786
204,-0.11827773,0.16364408,-0.13247204,909.5028,Thu Nov 10 19:24:14 MST 2016,0.89531094,1.9602704,9.56693,0.039033823,-0.10343451,-0.7000331,0.0,0.0,-19.057846,-5.288315,-26.803207
205,-0.17693943,-0.043213367,-0.16970444,909.5264,Thu Nov 10 19:24:16 MST 2016,0.946239,1.9545164,9.563205,0.037120376,-0.10504447,-0.6990741,0.0,0.0,-19.514084,-5.8116913,-26.152039
206,-0.05662626,-0.64680314,0.21442509,909.5556,Thu Nov 10 19:24:17 MST 2016,0.8562382,1.781696,9.605352,0.03128978,-0.09635486,-0.719749,0.0,0.0,-20.240402,-6.4258575,-25.686646
207,0.15273398,0.17608392,-0.076437,909.5789,Thu Nov 10 19:24:18 MST 2016,0.88410646,1.6546288,9.625536,0.023823308,-0.09309508,-0.73420864,0.0,0.0,-18.632889,-6.1271667,-27.167511
208,0.0466128,1.5878415,-0.053129196,909.56323,Thu Nov 10 19:24:19 MST 2016,0.761885,1.1479828,9.70938,0.012265347,-0.06934677,-0.7223582,0.0,0.0,-18.896866,-6.0569763,-25.318527
209,-0.3300696,0.4513737,0.04428482,909.5888,Thu Nov 10 19:24:20 MST 2016,0.92621756,1.9458218,9.566937,0.03577156,-0.10460573,-0.7108994,0.0,0.0,-19.773102,-5.4756165,-26.616287
210,-0.029892921,0.078478575,0.44080067,909.6262,Thu Nov 10 19:24:21 MST 2016,0.6487891,2.1574132,9.544372,0.054694574,-0.10188715,-0.70279247,0.0,0.0,-18.793106,-5.365753,-27.07901
211,-0.2003169,0.21745062,-0.09401226,909.63153,Thu Nov 10 19:24:23 MST 2016,0.71430176,2.073332,9.558318,0.05091458,-0.10034487,-0.6913332,0.0,0.0,-18.436432,-5.356598,-27.356339
212,-0.14320862,-0.31101513,0.7151489,909.67474,Thu Nov 10 19:24:24 MST 2016,0.5095513,2.1462529,9.55533,0.06148153,-0.09504605,-0.6870332,0.0,0.0,-17.374802,-5.5862427,-27.63176
213,-0.18226427,-0.19403744,0.11680031,909.69867,Thu Nov 10 19:24:25 MST 2016,0.43552414,1.8970131,9.611558,0.05393695,-0.08389122,-0.69532216,0.0,0.0,-17.362213,-5.073929,-28.003693
214,-0.18508813,0.035598755,-0.18203259,909.725,Thu Nov 10 19:24:26 MST 2016,0.2640492,1.8006433,9.636304,0.056532755,-0.0740898,-0.69553477,0.0,0.0,-17.63382,-5.2490234,-28.28064
215,-0.7007554,-0.07965124,0.23949528,909.7411,Thu Nov 10 19:24:27 MST 2016,0.07906782,1.8187863,9.63619,0.0663001,-0.065538995,-0.6685376,0.0,0.0,-16.897964,-4.210663,-28.377533
216,-0.59862167,-0.08471882,-0.10893822,909.7466,Thu Nov 10 19:24:28 MST 2016,0.13938901,1.8629214,9.62707,0.06943167,-0.06584276,-0.6291455,0.0,0.0,-19.437027,-2.4829865,-28.111649
217,-0.45342642,0.14336133,-0.03935337,909.77246,Thu Nov 10 19:24:30 MST 2016,0.040304866,1.8261669,9.635035,0.072534174,-0.059065968,-0.6114853,0.0,0.0,-21.209335,-2.179718,-28.853607
218,-0.0141246915,-0.1418221,-0.020112038,909.7981,Thu Nov 10 19:24:31 MST 2016,0.3322504,1.7698944,9.63989,0.060646307,-0.06945825,-0.61635673,0.0,0.0,-23.862076,-1.4770508,-28.30429
219,0.34534,-0.6480167,-0.06619263,909.8344,Thu Nov 10 19:24:32 MST 2016,0.5693888,1.5042132,9.673858,0.03971879,-0.07206205,-0.6459808,0.0,0.0,-23.235703,-1.3969421,-24.23668
220,0.47574157,0.24951243,-0.5264149,909.8588,Thu Nov 10 19:24:33 MST 2016,0.742565,1.6008768,9.646563,0.036439344,-0.082670115,-0.6576798,0.0,0.0,-23.051071,-1.1341095,-25.161743
221,0.34004086,1.3660847,-0.1514082,909.85626,Thu Nov 10 19:24:34 MST 2016,0.6825705,1.098748,9.720969,0.019890377,-0.06303092,-0.6498336,0.0,0.0,-23.768616,-1.3118744,-26.826477
222,-0.08640927,0.78585386,-0.5924549,909.917,Thu Nov 10 19:24:35 MST 2016,0.64425623,1.9754572,9.583991,0.05646672,-0.09035458,-0.63825256,0.0,0.0,-23.306274,-0.53253174,-27.662659
223,-0.016156167,0.114332914,-0.021119118,909.9308,Thu Nov 10 19:24:37 MST 2016,0.43585593,2.1317127,9.562228,0.07167485,-0.0855847,-0.6186122,0.0,0.0,-23.064423,-1.6319275,-27.749634
224,0.19827604,-0.043473244,0.114198685,909.95386,Thu Nov 10 19:24:38 MST 2016,0.33512646,2.2447824,9.540389,0.07984501,-0.084854566,-0.61489284,0.0,0.0,-22.872543,-1.0299683,-28.213882
225,-0.10728626,-0.24526048,0.4518299,909.969,Thu Nov 10 19:24:39 MST 2016,0.22552164,2.189478,9.556449,0.080678165,-0.079042725,-0.618972,0.0,0.0,-21.988297,-1.266861,-27.84233
226,0.022319704,-0.73412406,0.066319466,910.00055,Thu Nov 10 19:24:40 MST 2016,0.2802627,1.9328617,9.610198,0.06821392,-0.07323376,-0.6232168,0.0,0.0,-22.068024,-0.83465576,-29.694366
227,-0.15139326,0.23168075,-0.29033375,910.0217,Thu Nov 10 19:24:41 MST 2016,0.31915426,1.7040743,9.652184,0.056201573,-0.06868012,-0.6415589,0.0,0.0,-21.992111,-1.4373779,-27.749252
228,-0.26657727,0.17265177,0.7838526,910.0145,Thu Nov 10 19:24:42 MST 2016,0.33172324,1.2628554,9.719338,0.039062213,-0.0540906,-0.6339456,0.0,0.0,-23.59314,-1.3835907,-28.767776
229,-0.07430947,0.68513286,0.3134985,910.0395,Thu Nov 10 19:24:44 MST 2016,0.3777997,2.024281,9.588011,0.06837545,-0.08045078,-0.6267053,0.0,0.0,-21.554947,-1.7631531,-28.671646
230,-0.11337954,0.0650301,0.11013508,910.065,Thu Nov 10 19:24:45 MST 2016,0.37908387,2.112286,9.568956,0.0732999,-0.08213479,-0.6129967,0.0,0.0,-22.04895,-0.07400513,-28.680801
231,-0.2565828,0.031491995,0.1785202,910.0593,Thu Nov 10 19:24:46 MST 2016,0.4590806,2.086153,9.571186,0.069909036,-0.08436864,-0.6111839,0.0,0.0,-22.057343,-0.41503906,-28.494263
232,0.29040354,-0.3276899,0.20305729,910.06537,Thu Nov 10 19:24:47 MST 2016,0.6150322,2.048065,9.570662,0.061761137,-0.090651296,-0.6257689,0.0,0.0,-23.718262,-2.9186249,-28.390503
233,-0.094510734,-0.61695015,0.06717777,910.07825,Thu Nov 10 19:24:48 MST 2016,0.5676522,1.8731248,9.609348,0.05472452,-0.0840527,-0.6405224,0.0,0.0,-22.71843,-2.0496368,-27.56195
234,-0.32924953,-0.6760721,0.38772106,910.12427,Thu Nov 10 19:24:49 MST 2016,0.4367067,1.4806631,9.684384,0.04343916,-0.06593051,-0.6432793,0.0,0.0,-23.069382,-1.7990112,-28.302383
235,-0.01648295,-0.6254568,-0.28399754,910.16156,Thu Nov 10 19:24:51 MST 2016,0.66765547,1.0109341,9.731528,0.016939525,-0.059524953,-0.65048707,0.0,0.0,-22.850418,-0.09841919,-27.29454
236,-0.113788486,-0.6112138,0.06599331,910.1822,Thu Nov 10 19:24:52 MST 2016,0.7503126,1.020602,9.724494,0.012541,-0.06349414,-0.6742378,0.0,0.0,-20.500946,-2.3353577,-28.575134
237,-0.1753043,1.0946537,-0.11367035,910.1913,Thu Nov 10 19:24:53 MST 2016,0.80845374,1.1381392,9.706773,0.013182509,-0.07013254,-0.69247746,0.0,0.0,-23.278809,-3.168106,-27.555084
238,0.46127355,1.8842688,-0.41656685,910.16956,Thu Nov 10 19:24:54 MST 2016,1.0541348,1.7866184,9.584737,0.030605115,-0.10187126,-0.6747824,0.0,0.0,-24.754333,-1.5872955,-27.19574
239,1.1204354,0.51150703,-0.20762539,910.16864,Thu Nov 10 19:24:55 MST 2016,1.6516299,2.5431395,9.326036,0.019040434,-0.15537684,-0.7567343,0.0,0.0,-22.343063,-5.027008,-25.880814
240,0.73362947,0.35384488,0.013834953,910.1373,Thu Nov 10 19:24:56 MST 2016,1.5515004,3.0952713,9.175103,0.010515446,-0.17913496,-0.8521251,0.0,0.0,-15.257263,-10.224915,-25.570679
241,-0.03483188,0.31170607,0.08278656,910.12115,Thu Nov 10 19:24:58 MST 2016,1.214435,3.3327053,9.14268,0.016669558,-0.18323523,-0.889235,0.0,0.0,-6.5307617,-9.941483,-25.93689
242,-0.6078518,-0.099910736,-0.10784912,910.0964,Thu Nov 10 19:24:59 MST 2016,0.8950492,3.3016462,9.19067,0.056384295,-0.16800916,-0.8185974,0.0,0.0,-5.8818817,-8.822632,-25.572205
