time,x,y
12.36666667,-3.622294981,0.300092664
12.4,-3.583296018,0.301242681
12.43333333,-3.535121103,0.302820142
12.46666667,-3.491489608,0.30447163
12.5,-3.441405922,0.305619753
12.53333333,-3.396213272,0.305670111
12.56666667,-3.356734006,0.308565877
12.6,-3.314511494,0.31446228
12.63333333,-3.250036078,0.317650309
12.66666667,-3.204464195,0.317558693
12.7,-3.155488142,0.318138661
12.73333333,-3.113912982,0.318294073
12.76666667,-3.06638111,0.318238506
12.8,-3.017744019,0.31807682
12.83333333,-2.969804076,0.317304729
12.86666667,-2.924111202,0.314133407
12.9,-2.88202582,0.308591791
12.93333333,-2.836096429,0.305221885
12.96666667,-2.797434627,0.304126509
13,-2.746048886,0.30358144
13.03333333,-2.696669405,0.303267045
13.06666667,-2.647296009,0.301963519
13.1,-2.601388244,0.30106468
13.13333333,-2.553229474,0.300023564
13.16666667,-2.510851398,0.299667
13.2,-2.463841222,0.296725235
13.23333333,-2.418758178,0.295619877
13.26666667,-2.376983497,0.290556731
13.3,-2.328296995,0.285694913
13.33333333,-2.282697978,0.282984579
13.36666667,-2.234973073,0.282315817
13.4,-2.186528736,0.280360374
13.43333333,-2.139830351,0.278177995
13.46666667,-2.092043714,0.27392189
13.5,-2.044567941,0.272292697
13.53333333,-1.99761202,0.267649309
13.56666667,-1.952486237,0.266173292
13.6,-1.903563902,0.264587962
13.63333333,-1.856009017,0.263962354
13.66666667,-1.805755698,0.263479285
13.7,-1.757109612,0.261986659
13.73333333,-1.707551907,0.261946903
13.76666667,-1.657562582,0.262348697
13.8,-1.611134028,0.26158802
13.83333333,-1.562843378,0.261981906
13.86666667,-1.515334902,0.261874836
13.9,-1.467730675,0.261886257
13.93333333,-1.421585782,0.2620316
13.96666667,-1.372475321,0.262135024
14,-1.325734876,0.262349985
14.03333333,-1.27875067,0.263025129
14.06666667,-1.225752443,0.262927649
14.1,-1.17609951,0.26650759
14.13333333,-1.122656458,0.266278513
14.16666667,-1.073582167,0.270980777
14.2,-1.022816164,0.27348342
14.23333333,-0.973382762,0.275162394
14.26666667,-0.924304536,0.276909944
14.3,-0.872853291,0.279794597
14.33333333,-0.820448028,0.28256295
14.36666667,-0.770121606,0.284083493
14.4,-0.717256503,0.287678571
14.43333333,-0.66822371,0.29212267
14.46666667,-0.622703804,0.300280314
14.5,-0.581469343,0.309868907
14.53333333,-0.543427961,0.319671482
