n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,-0.044036448,0.012141734,-0.36932755,879.91,Sun May 07 20:11:07 MDT 2017,0.43429133,0.3242436,-9.791664,0.66812843,-0.7435345,0.0024352951,15.441731,87.986176,-9.339,-0.428,37.564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,324,0.39025488,0.33638534,-10.160992
1,-0.30902532,-0.047941387,-0.3831463,879.95,Sun May 07 20:11:09 MDT 2017,0.72022945,0.37295428,-9.773057,0.6669215,-0.74398303,0.010293068,15.441731,87.986176,-9.039,-0.741,36.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.41120413,0.3250129,-10.156203
2,-0.43160972,-0.06108713,-0.3956957,879.94,Sun May 07 20:11:10 MDT 2017,0.8350327,0.3681435,-9.764099,0.66255,-0.74757683,0.014121694,15.605809,86.76169,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.40342298,0.30705637,-10.159795
3,-0.50574887,-0.03504646,-0.39888668,879.97,Sun May 07 20:11:11 MDT 2017,0.91336167,0.361855,-9.757317,0.66131717,-0.74843365,0.016984452,15.605809,86.76169,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.40761283,0.32680854,-10.156203
4,-0.5310705,-0.03482312,-0.39009285,879.91,Sun May 07 20:11:12 MDT 2017,0.94466877,0.35085773,-9.754738,0.6629282,-0.746917,0.018545048,15.8028555,85.40304,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.41359833,0.31603462,-10.144831
5,-0.5326606,-0.011102647,-0.38733673,879.93,Sun May 07 20:11:13 MDT 2017,0.9247111,0.3265387,-9.757494,0.67021966,-0.7404754,0.019240698,15.8028555,85.40304,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.39205053,0.31543607,-10.144831
6,-0.45394295,0.04212901,-0.38919067,879.9,Sun May 07 20:11:14 MDT 2017,0.86813986,0.30383313,-9.763422,0.67806417,-0.7335056,0.018659996,15.8028555,85.40304,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.4141969,0.34596214,-10.152613
7,-0.3726398,0.016874284,-0.39720058,879.98,Sun May 07 20:11:15 MDT 2017,0.78264683,0.29317483,-9.770974,0.6824478,-0.7296918,0.01631455,15.913669,85.043686,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.41000703,0.31004912,-10.168175
8,-0.29825386,0.02053079,-0.39545155,879.98,Sun May 07 20:11:16 MDT 2017,0.7058667,0.29011688,-9.776913,0.6844054,-0.7280627,0.013831703,15.913669,85.043686,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.40761283,0.31064767,-10.172364
9,-0.21417043,0.06443909,-0.39972305,879.93,Sun May 07 20:11:18 MDT 2017,0.61340356,0.2809245,-9.783416,0.68799806,-0.7248964,0.011149906,15.913669,85.00894,-8.721,-0.741,37.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,327,0.39923313,0.3453636,-10.183139
