n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,-6.0382023,-4.3588624,3.2386045,872.25,Wed May 17 21:47:49 MDT 2017,3.853493,3.0432484,8.488794,0.22669059,-0.10839211,0.41252494,41.205463,20.202362,1.675,12.236,-91.276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-2.184709,-1.3156139,11.727399
1,-3.8827057,-3.6703947,1.218812,872.27,Wed May 17 21:47:50 MDT 2017,3.6528623,3.3328123,8.468727,0.22713497,-0.12912546,0.2983589,41.205463,20.202362,-1.425,11.854,-87.811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.22984336,-0.33758244,9.687539
2,-3.5737739,-3.375139,0.92708874,872.28,Wed May 17 21:47:51 MDT 2017,3.3624856,3.0477319,8.693412,0.20619212,-0.11954542,0.29566228,41.205463,20.202362,-1.11,14.024,-87.818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.2112883,-0.3274071,9.620501
3,-3.151728,-3.009053,0.6119261,872.23,Wed May 17 21:47:53 MDT 2017,2.9554033,2.6984053,8.952909,0.17931007,-0.10667989,0.28443623,36.819256,25.596481,-1.454,13.447,-87.818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.19632454,-0.31064767,9.564836
4,-2.854388,-2.5698767,0.55068016,872.5,Wed May 17 21:47:54 MDT 2017,2.408468,2.2670102,9.232028,0.13261393,-0.10856499,0.12784043,36.819256,25.596481,-13.023,12.762,-84.472,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.44592008,-0.30286652,9.782708
5,-1.998243,-2.1769989,0.13448048,871.73,Wed May 17 21:47:55 MDT 2017,1.7121359,1.7945251,9.487816,0.093049616,-0.0875359,0.008039977,32.68468,31.469297,-14.176,12.989,-83.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.2861071,-0.3824737,9.622296
6,-1.3951254,-1.7805352,0.75653744,871.87,Wed May 17 21:47:56 MDT 2017,0.9521981,1.3010963,9.673203,0.059930805,-0.056972582,-0.12494808,32.68468,31.469297,-14.176,12.733,-83.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.4429273,-0.4794389,10.429741
7,-0.35494703,-1.381552,0.017018318,871.98,Wed May 17 21:47:57 MDT 2017,0.27114996,0.7818044,9.771675,0.034676995,-0.024694435,-0.27627555,32.68468,31.469297,-14.176,12.1,-83.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.08379706,-0.59974754,9.788693
8,0.05821088,-0.61654603,-0.13043308,872.01,Wed May 17 21:47:58 MDT 2017,-0.31558755,0.3525853,9.795227,0.022894286,0.0070600556,-0.4060035,28.627083,38.114788,-14.176,11.584,-83.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.25737667,-0.26396075,9.664794
9,0.5326584,-0.36731672,-0.0156002045,872.06,Wed May 17 21:47:59 MDT 2017,-0.78764087,0.008784999,9.774965,0.0201268,0.03438463,-0.4916434,28.627083,38.114788,-14.173,11.34,-83.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,-8,-0.25498247,-0.3585317,9.759365
10,0.8737172,-0.13689655,-0.09645939,871.97,Wed May 17 21:48:00 MDT 2017,-1.1263055,-0.25156268,9.738508,0.02062338,0.054821532,-0.5460361,24.584606,45.871296,-14.173,11.28,-83.753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,76,-0.25258827,-0.38845924,9.642049
11,1.0953348,0.014766097,-0.059012413,872.05,Wed May 17 21:48:01 MDT 2017,-1.3646824,-0.40322533,9.702857,0.023349598,0.06838182,-0.576518,24.584606,45.871296,-14.173,11.557,-83.753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,76,-0.2693477,-0.38845924,9.643845
12,1.2775671,0.07223293,-5.8174133E-5,872.06,Wed May 17 21:48:02 MDT 2017,-1.5044178,-0.4930139,9.67802,0.024985977,0.07674311,-0.58867276,24.584606,45.871296,-14.173,11.268,-83.753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,76,-0.22685061,-0.42078096,9.677961
13,1.3278835,0.10720128,0.023996353,872.21,Wed May 17 21:48:03 MDT 2017,-1.5798732,-0.52798223,9.664141,0.026856579,0.08062224,-0.5979894,20.764568,54.389145,-13.871,13.888,-83.753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72,76,-0.25198972,-0.42078096,9.688137
