n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,0.027732372,0.16162276,0.87154675,871.74,Wed May 17 21:13:33 MDT 2017,2.8483024,2.4211223,9.066186,0.15461278,-0.10277284,0.25838634,4.22975,62.133415,-23.591,-10.243,-49.119,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,2.8760347,2.582745,9.937733
1,-1.818579,0.37228668,-0.96877813,871.82,Wed May 17 21:13:35 MDT 2017,4.414492,1.5011761,8.627231,0.017269822,-0.25887176,-0.23727843,4.22975,62.133415,-40.919,-1.979,-50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,2.5959132,1.8734628,7.6584525
2,0.5286206,0.03044653,-0.08009052,871.87,Wed May 17 21:13:36 MDT 2017,-0.8153263,-0.36623332,9.765834,-0.005174687,0.04513978,-0.3063467,4.22975,62.133415,1.608,11.264,-90.979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.28670564,-0.3357868,9.685743
3,0.65264785,-0.00954403,-0.26111126,871.87,Wed May 17 21:13:37 MDT 2017,-1.105152,-0.22628483,9.741551,0.009576103,0.056808222,-0.36061764,6.525842,62.133415,1.608,11.331,-90.979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.45250413,-0.23582886,9.48044
4,1.041482,-0.3347015,0.008997917,871.93,Wed May 17 21:13:38 MDT 2017,-1.2988586,-0.08967074,9.719841,0.019892218,0.06330532,-0.36552766,6.525842,62.133415,1.608,11.543,-90.675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.25737667,-0.42437226,9.728839
5,1.10007,-0.3461224,-0.008051872,871.86,Wed May 17 21:13:39 MDT 2017,-1.3987466,0.019313883,9.706365,0.031840935,0.06381534,-0.43397173,6.525842,62.133415,-6.407,12.87,-86.915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.29867667,-0.32680854,9.698313
6,1.015487,-0.5640903,0.04319191,871.41,Wed May 17 21:13:40 MDT 2017,-1.4506332,0.10320648,9.698216,0.041430958,0.061552253,-0.49807522,5.7882247,71.84155,-12.606,13.125,-85.238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.43514615,-0.46088383,9.741408
7,1.0158045,-0.44367778,-0.08190632,871.38,Wed May 17 21:13:41 MDT 2017,-1.3994753,0.13063593,9.7054,0.040817145,0.058972724,-0.4896194,5.7882247,71.84155,-12.606,13.087,-85.278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.38367084,-0.31304187,9.623494
8,1.023221,-0.70286465,0.018198967,871.44,Wed May 17 21:13:42 MDT 2017,-1.3284817,0.12646058,9.715428,0.03857596,0.05613708,-0.48348808,4.4477787,81.56957,-12.606,13.211,-85.278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.30526072,-0.57640404,9.733627
9,0.905893,-0.48888513,-0.016135216,871.5,Wed May 17 21:13:43 MDT 2017,-1.2213291,0.13155052,9.729411,0.035620905,0.05159359,-0.4772299,4.4477787,81.56957,-12.606,12.69,-85.278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81,-20,-0.31543607,-0.3573346,9.713276
